en,en_context,puj,latn_norm,han
a,,che̍k-kâi,chek8-kai5,一個
a,,che̍k-chiah,chek8-chiah4,一隻
aback,,pùe-ãu,pue3-au6,背後
aback,taken aback at meeting one,ngõ--tie̍h uak--chē-kiè,ngo6--tieh8 uak4--che7-kie3,遇着斡些叫
abacus,,sǹg-pûaⁿ,sng3-puann5,算盤
abacus,to work the,kiah-sǹg-pûaⁿ,kiah4-sng3-puann5,揭算盤
abacus,to work the,khà-sǹg-pûaⁿ,kha3-sng3-puann5,扣算盤
abaft,the foremast,thâu-ûi-ãu,thau5-ui5-au6,頭圍後
abandon,,pàng-tiāu,pang3-tiau7,放掉
abandon,,ka̍k-tiāu,kak8-tiau7,捔掉
abandon,,sek-tiāu,sek4-tiau7,擲掉
abandon,,lī-khui,li7-khui1,離開
abandon,,màiⁿ,mainn3,勿
abase,,kàng-khip,kang3-khip4,降級
abash,,sit-nâng kâi-thí-mīn,sit4-nang5 kai5-thi2-min7,失人个體面
abash,abashed,tshâm-khũi,chham5-khui6,慚愧
abash,abashed,kièn-siàu,kien3-siau3,見笑
abash,abashed,siáu-lí,siau2-li2,少禮
abash,abashed,siu-chhí,siu1-chhi2,羞恥
abate,,kiám,kiam2,減
abate,,chié,chie2,少
abate,the price,sǹg-kiám,sng3-kiam2,算減
abate,the price,tṳ̂-kiám,tur5-kiam2,除減
abate,the price,khà-kiám,kha3-kiam2,敲減
abate,the price,khà-tṳ̂,kha3-tur5,敲除
abate,the price,kiám--chē,kiam2--che7,減些
abate,the price,chié--chē,chie2--che7,少些
abbess,(Buddhist),sṳ-hũ,sur1-hu6,師父
abbess,(Buddhist),hûe-siēⁿ-phûa,hue5-sienn7-phua5,和尚婆
abbess,(Buddhist),nîⁿ-kou-phûa,ninn5-kou1-phua5,尼姑婆
abbot,(Buddhist),sṳ-hũ,sur1-hu6,師父
abbot,(Buddhist),hûe-siēⁿ-thâu,hue5-sienn7-thau5,和尚頭
abbot,(Buddhist),tang-ke,tang1-ke1,東家
abbreviation,,sié-siá,sie2-sia2,小寫
abbreviation,a compendium,tãi-lia̍k,tai6-liak8,大略
abdicate,,siā-cheh,sia7-cheh4,謝職
abdicate,,sî-kuaⁿ,si5-kuann1,辭官
abdicate,of a sovereign,siā-ūi,sia7-ui7,謝位
abdicate,of a sovereign,thò-ūi,tho3-ui7,退位
abdomen,,tóu,tou2,肚
abdomen,,tóu-pak,tou2-pak4,肚腹
abduct,,kuái-tô,kuai2-to5,拐逃
abduct,,thau-kiau,thau1-kiau1,偷驕
abduct,,thau-kāng-tsáu,thau1-kang7-chau2,偷共走
abet,,pang-tsõ,pang1-cho6,幫做
abet,,pang-ak,pang1-ak4,幫惡
abhor,,lóu,lou2,惱
abhor,,ù,u3,塢
abhor,,lóu-hṳ̃n,lou2-hurn6,惱恨
abide,,kṳ-tsũ,kur1-chu6,居住
abide,,khiã-khí,khia6-khi2,徛起
abide,,tiū,tiu7,住
abject,,hiã-tsūaⁿ,hia6-chuann7,下賤
abject,,hiã-liû,hia6-liu5,下流
ability,,lêng-kàng,leng5-kang3,能降
ability,,pún-sṳ̄,pun2-sur7,本事
ability,,pún-niáⁿ,pun2-niann2,本領
ability,,tshâi-chhêng,chhai5-chheng5,才情
ability,,tshâi-lêng,chhai5-leng5,才能
ability,have not the ability to do,bô-lêng-ûi,bo5-leng5-ui5,無能為
abjure,,chiù-tsūa bô-chí-kâi-sṳ̄,chiu3-chua7 bo5-chi2-kai5-sur7,咒誓無此個事
abjure,one’s religion,húan-kà,huan2-ka3,反教
abjure,one’s religion,pũe-kà,pue6-ka3,背教
able,,lêng,leng5,能
able,,õi,oi6,會
able,,miâⁿ-ke,miann5-ke1,名家
able,,ũ-lêng-ûi,u6-leng5-ui5,有能爲
ablution,,sói-chheng-khih,soi2-chheng1-khih4,洗清潔
ablution,,sói-chheng,soi2-chheng1,洗清
ablution,,sói-sin,soi2-sin1,洗身
ablution,,sói-e̍k,soi2-ek8,洗浴
aboard,,tõ-tsûn,to6-chun5,在船
aboard,,tsûn-téng,chun5-teng2,船頂
aboard,,lo̍h-tsûn,loh8-chun5,落船
abolish,,tṳ̂-tiāu,tur5-tiau7,除掉
abolish,,hùi-tiāu,hui3-tiau7,廢掉
abominable,,khó-ù,kho2-u3,可惡
abominable,,tshūa-nâng-lóu,chhua7-nang5-lou2,𤆬人惱
abominate,,ù,u3,塢
abominate,,lóu,lou2,惱
abominate,,kĩ,ki6,企
aborigines,,thóu-jîn,thou2-jin5,土人
aborigines,,pńg-tī-nâng,png2-ti7-nang5,本地人[訓]
abortion,,lo̍h-sié-súaⁿ,loh8-sie2-suann2,落小產
abortion,,lo̍h-sin,loh8-sin1,落身
abortion,,phah-tó a-nôuⁿ,phah4-to2 a1-nounn5,拍嬰
abortion,to produce by medicine,ēng-ie̍h lo̍h-tiāu a-nôuⁿ,eng7-ieh8 loh8-tiau7 a1-nounn5,用藥落掉阿孥
abound,,hoh-tsōi,hoh4-choi7,酷㩼
abound,,tōa-bó-mue̍h,tua7-bo2-mueh8,大母物
abound,,tsōi-tsōi,choi7-choi7,㩼㩼
abound,,sẽng,seng6,盛
abound,,mõng-sẽng,mong6-seng6,茂盛
abound,,hong-sẽng,hong1-seng6,豐盛
abound,,tshù-tshù to-tsōi,chhu3-chhu3 to1-choi7,處處多㩼
about,,tsha-m̄-to,chha1-m7-to1,差唔多
about,,kâi-pan-bó,kai5-pan1-bo2,个班母
about,,lím-lím,lim2-lim2,凜凜
about,,ũ chí-kâi-pān,u6 chi2-kai5-pan7,有此个辦
about,,tsáu-tsua̍h bô-ki,chau2-chuah8 bo5-ki1,走絀無幾
about,,chìn-thò ũ-hãn,chin3-tho3 u6-han6,進退有限
above,,tõ-téng,to6-teng2,在頂
above,,tõ-chiēⁿ,to6-chienn7,在上
above,,tõ-mīn-chiēⁿ,to6-min7-chienn7,在面上
abrade,,siah--tie̍h,siah4--tieh8,削着
abrade,,phoi--tie̍h,phoi1--tieh8,批着
abrade,,phiù-phûe,phiu3-phue5,漂皮
abridge,,séⁿ-iak,senn2-iak4,省約
abridge,,tiah-iàu,tiah4-iau3,摘要
abridge,,tiah-chhiet-iàu,tiah4-chhiet4-iau3,摘切要
abridge,,káng-séⁿ,kang2-senn2,簡省
abridge,,tiah-tshut káng-iàu,tiah4-chhut4 kang2-iau3,摘出簡要
abroad,,tõ-gūa,to6-gua7,在外
abroad,,tshut-tshù,chhut4-chhu3,出厝
abroad,,tshut-gūa,chhut4-gua7,出外
abroad,to go,kùe-huan,kue3-huan1,過番
abroad,to go,kùe-kok,kue3-kok4,過國
abruptly,,hut--chē-kiè,hut4--che7-kie3,忽一下叫
abruptly,,tu̍t-jiên,tut8-jien5,突然
abruptly,,hut-jiên,hut4-jien5,忽然
abscess,,seⁿ-thûe,senn1-thue5,生㿗
abscess,,seⁿ-mue̍h,senn1-mueh8,生物
abscess,,seⁿ-eng,senn1-eng1,生癭
abscess,,pũ-lâng-tshng,pu6-lang5-chhng1,胕膿瘡
abscond,,tô-tsáu,to5-chau2,逃走
abscond,,tsáu-khṳ̀-tiàm,chau2-khur3-tiam3,走去坫
abscond,,tô-pī,to5-pi7,逃避
abscond,,thau-tsáu,thau1-chau2,逃走
absence,,m̄-tõ,m7-to6,唔在
absence,of mind,sim m̄-tõ,sim1 m7-to6,心唔在
absence,of mind,sim-hûn m̄-tõ,sim1-hun5 m7-to6,心魂唔在
absolute,,tsṳ̃-tsú,chur6-chu2,自主
absolve,,kói-tsũe,koi2-chue6,改罪
absolve,,sià-tsũe,sia3-chue6,赦罪
absolve,,sek-pàng,sek4-pang3,釋放
absorb,,sò-ta,so3-ta1,疏大
absorb,water,sò-tsúi,so3-chui2,疏水
absorb,all one’s energies,ēng-chĩn-la̍t,eng7-chin6-lat8,用盡力
absorb,entirely absorbed in any thing,ji̍p-sîn,jip8-sin5,入神
abstain,,kài,kai3,戒
abstain,from liquor,kài-chiú,kai3-chiu2,戒酒
abstain,from lust,kài-io̍k,kai3-iok8,戒慾
abstemious,,tsat-ēng,chat4-eng7,節用
abstemious,,kúaⁿ-io̍k,kuann2-iok8,寡慾
abstemious,,ũ-tsat-tōu,u6-chat4-tou7,有節度
abstraction,in a state of (Buddhist),tsõ-siên,cho6-sien5,坐禪
abstraction,in a state of (Buddhist),ji̍p-tẽng,jip8-teng6,入定
abstruse,,chhim-àu,chhim1-au3,深奧
abstruse,,àu-biāu,au3-biau7,奧妙
absurd,,thèng-tàⁿ,theng3-tann3,聽呾
absurd,,bô-iáⁿ-chiah,bo5-iann2-chiah4,無影跡
absurd,,hó-chhiè,ho2-chhie3,無影
abuse,,mēⁿ,menn7,罵
abuse,filthy abuse,mēⁿ kàu chhi-gî,menn7 kau3 chhi1-gi5,罵到癡疑
abuse,filthy abuse,tshou-tshùi-mēⁿ,chhou1-chhui3-menn7,粗喙罵
abutment,of bridge,kiê-tún,kie5-tun2,橋墩
abyss,,chhim-thâm,chhim1-tham5,深潭
abyss,,chhim-chhim,chhim1-chhim1,深深
abyss,,bô-tói,bo5-toi2,無底
abyss,,bô-tói chhim-kheⁿ,bo5-toi2 chhim1-khenn1,無底深坑
academy,,tsṳ-īⁿ,chur1-inn7,書院
academy,imperial (at Pekin),hâng-lîm,hang5-lim5,翰林
accelerate,,tshui-pek,chhui1-pek4,催迫
accelerate,,tshui-méⁿ,chhui1-menn2,催猛
accede,,zún-na̍p,jun2-nap8,允納
accede,,hàuⁿ,haunn3,好
accede,,khéng,kheng2,肯
accede,,tsún,chun2,准
accede,,na̍p-ì,nap8-i3,納意
accent,,siaⁿ-im,siann1-im1,聲音
accent,,siaⁿ-kháu,siann1-khau2,聲口
accept,,siũ,siu6,受
accept,,siu,siu1,收
accept,,chiap-na̍p,chiap4-nap8,接納
accept,,na̍p-siũ,nap8-siu6,納受
access,,lōu-mn̂g,lou7-mng5,路門
access,,lōu-mn̂g hó-chiũ,lou7-mng5 ho2-chiu6,路門好就
access,increase,thiⁿ-ke,thinn1-ke1,添加
access,increase,thiam-ke,thiam1-ke1,添加
accession,to the throne,seng-ūi,seng1-ui7,升位
accessory,,pang-tsõ,pang1-cho6,幫助
accident,,ì-gūa kâi-sṳ̄,i3-gua7 kai5-sur7,意外个事
accident,,liāu-m̄-kàu kâi kéng-ngõ,liau7-m7-kau3 kai5 keng2-ngo6,料唔到个境遇
accident,accidental,ngóu-jiên,ngou2-jien5,偶然
accident,accidental,tsõu-jiên,chou6-jien5,偶然
acclivity,,suaⁿ kiã-kiã,suann1 kia6-kia6,山崎崎
acclivity,,pho-lo-sia,pho1-lo1-sia1,陂咯斜
accommodate,others,pang-tsõ,pang1-cho6,幫助
accommodate,others,chieh-ēng,chieh4-eng7,借用
accommodate,oneself to others,tshông-khûan,chhong5-khuan5,從權
accommodate,oneself to others,sûi-nâng-ì,sui5-nang5-i3,隨人意
accommodate,able to accommodate oneself to circumstances,ũ-pièn-thong,u6-pien3-thong1,有變通
accommodate,able to accommodate oneself to circumstances,ũ-khuân-pièn,u6-khuan5-pien3,有權變
accompany,,tâng-kiâⁿ,tang5-kiann5,同行
accompany,,tsò-pû-kiâⁿ,cho3-pu5-kiann5,做包行
accompany,,pûe-sàng,pue5-sang3,陪送
accompany,,sie-phũaⁿ,sie1-phuann6,相伴
accomplice,,tâng-táng,tang5-tang2,同黨
accomplice,,tâng-pang,tang5-pang1,同幫
accomplish,,tsùn-kang,chun3-kang1,做成
accomplish,,sêng-kong,seng5-kong1,做成
accomplish,,uân-kang,uan5-kang1,做成
accomplish,,tsò-chiâⁿ,cho3-chiann5,做成
accomplish,one’s desire,tit-ì,tit4-i3,得意
accomplish,to fulfil,sîn-ngiām,sin5-ngiam7,做成
accomplish,to fulfil,èng-ngiām,eng3-ngiam7,做成
accord,,hûa,hua5,和
accord,,hûa-ha̍h,hua5-hah8,和合
accord,,siang-ha̍h,siang1-hah8,相合
accord,,hûa-míⁿ,hua5-minn2,和免
accord,,siang-hûa,siang1-hua5,相和
accord,,hûa-mo̍k,hua5-mok8,和睦
accordance,,sie-tùi,sie1-tui3,相對
accordance,,sie-tâng,sie1-tang5,相同
accordance,,siang-ha̍h,siang1-hah8,相合
according,,chiè,chie3,照
according,,chiè-iēⁿ,chie3-ienn7,照樣
according,to one’s wishes,zû-ì,ju5-i3,如意
according,to order,zû-mẽng,ju5-meng6,如命
account,,siàu-ba̍k,siau3-bak8,數目
account,book,siàu-phõu,siau3-phou6,數簿
account,to enter,chiẽⁿ-siàu,chienn6-siau3,上數
account,to enter,lo̍h-siàu,loh8-siau3,落數
account,to enter,kì-siàu,ki3-siau3,記數
account,settle,hôiⁿ-siàu,hoinn5-siau3,還數
account,settle,siàu-ba̍k chheng-tshó,siau3-bak8 chheng1-chho2,數目清楚
account,owe,khiàm-siàu,khiam3-siau3,欠數
account,square,ap-siàu,ap4-siau3,押數
account,collect,thó-siàu,tho2-siau3,討數
account,manage,hūaⁿ-siàu,huann7-siau3,捍數
account,make up,sǹg-siàu,sng3-siau3,算數
account,on account of,in-ũi,in1-ui6,因謂
account,on no account,būan-būan put-khó,buan7-buan7 put4-kho2,萬萬不可
account,on no account,tùan-tùan m̄-hó,tuan3-tuan3 m7-ho2,斷斷唔好
account,cannot account for,put-kói,put4-koi2,不解
account,cannot account for,siẽⁿ-m̄-phùa,sienn6-m7-phua3,想唔破
account,cannot account for,siẽⁿ-m̄-tshut,sienn6-m7-chhut4,想唔出
account,give an account of any event,o̍h pun-nâng-thiaⁿ,oh8 pun1-nang5-thiann1,學分人聽
account,give an account of any event,kāng-nâng-tàⁿ,kang7-nang5-tann3,共人呾
accumulate,,tun-chek,tun1-chek4,屯積
accumulate,,chek-thiok,chek4-thiok4,積蓄
accumulate,wealth,tun-kim chek-ge̍k,tun1-kim1 chek4-gek8,屯金積玉
accumulate,merit,chek-tek,chek4-tek4,積德
accumulate,merit,chek-kong,chek4-kong1,積功
accurate,,bô-tsáu-tsua̍h,bo5-chau2-chuah8,無走絀
accurate,,siâng-sòi,siang5-soi3,詳細
accurate,,sòi-siâng,soi3-siang5,細詳
accurate,,chin-chiàⁿ,chin1-chiann3,真正
accusation,,phah-kuaⁿ-si,phah4-kuann1-si1,拍官司
accusation,,kò-tsn̄g,ko3-chng7,告狀
accusation,,ji̍p-tiâⁿ,jip8-tiann5,入呈
accusation,,sie-kò,sie1-ko3,相告
accuse,,kò,ko3,告
accuse,accuser,ngûan-kò,nguan5-ko3,原告
accuse,accused,pĩ-kò,pi6-ko3,被告
accustom,,kùan,kuan3,慣
accustom,,kùan-tsò,kuan3-cho3,慣習
accustom,,kùiⁿ-sìⁿ,kuinn3-sinn3,慣勢
accustom,,se̍k,sek8,熟
accustom,,se̍k-chhiú,sek8-chhiu2,慣習
ache,,thiàⁿ,thiann3,痛
ache,,sng-thiàⁿ,sng1-thiann3,痠痛
achieve,,sêng-kong,seng5-kong1,成功
achieve,,sêng-chiũ,seng5-chiu6,成就
achieve,,tsò-chiâⁿ,cho3-chiann5,做成
acid,,sng,sng1,酸
acid,,sng-bī,sng1-bi7,酸味
acknowledge,,jīn,jin7,認
acknowledge,,sêng-jīn,seng5-jin7,承認
acquaintance,,phêng-iú,pheng5-iu2,朋友
acquaintance,,siang-se̍k kâi-nâng,siang1-sek8 kai5-nang5,相熟个人
acquaintance,acquainted with,se̍k,sek8,熟
acquiesce,,pàng-sim,pang3-sim1,放心
acquiesce,,zún-na̍p,jun2-nap8,允納
acquiesce,,sũn-tshông,sun6-chhong5,順從
acquiesce,,na̍p-ì,nap8-i3,納意
acquire,,tit--tie̍h,tit4--tieh8,得着
acquire,wealth,thàn-chîⁿ,than3-chinn5,趁錢
acquire,wealth,huat-tshâi,huat4-chhai5,發財
acquit,,sek-pàng,sek4-pang3,釋放
acquit,,tiah-sek,tiah4-sek4,摘釋
acquit,,pàng i hûe-ke,pang3 i1 hue5-ke1,放伊回家
acre,,bóu,bou2,畝
acre,,tshân-bóu,chhan5-bou2,田畝
across,,hûeⁿ,huenn5,橫
across,,ka-lak-hûeⁿ,ka1-lak4-huenn5,交落橫
across,,ka-lè-hûeⁿ,ka1-le3-huenn5,交路橫
act,,tsò,cho3,做
act,,kiâⁿ,kiann5,行
act,,ûi,ui5,爲
act,,tsak,chak4,作
action,,hêng-ûi,heng5-ui5,行爲
action,,kiâⁿ-ûi,kiann5-ui5,行爲
action,,hêng-chí,heng5-chi2,行止
action,in war,chièn-che̍k-tīn,chien3-chek8-tin7,戰一陣
action,enter an a (at law),phah-kuaⁿ-si,phah4-kuann1-si1,拍官司
active,,khṳ̂n-kang,khurn5-kang1,勤工
active,,kha-chhiú mé,kha1-chhiu2 me2,骹手猛
active,,lêng-lāi,leng5-lai7,伶俐
active,,ua̍h-phuah,uah8-phuah4,活潑
actor,in play,hì-kiáⁿ,hi3-kiann2,戲囝
actor,in play,hì-kieh,hi3-kieh4,戲腳
actor,personating female,hì-tòaⁿ,hi3-tuann3,戲段
actually,,si̍t-tsãi,sit8-chai6,實在
actually,,kúaⁿ-jiên,kuann2-jien5,果然
actually,,khak-si̍t,khak4-sit8,確實
actually,,tek-si̍t,tek4-sit8,的實
acute,sharp,chiam,chiam1,尖
acute,ingenious,kuai-khá,kuai1-kha2,乖巧
acute,in discernment,tshong-mêng,chhong1-meng5,聰明
adage,,so̍k-gṳ́,sok8-gur2,俗語
adage,,ngân-gṳ́,ngan5-gur2,言語
adapt,,sie-kah,sie1-kah4,相合
adapt,,kah-kùa,kah4-kua3,合蓋
adapt,,kah-pān,kah4-pan7,合辦
adapt,,tsún-thâu,chun2-thau5,準頭
adapt,able to adapt oneself to circumstances,ũ-khûan-pièn,u6-khuan5-pien3,有權變
add,,thiam,thiam1,添
add,,ke,ke1,加
add,,thiⁿ-ke,thinn1-ke1,添加
add,,lo̍h-ke,loh8-ke1,落加
add,,póu-ke,pou2-ke1,補加
add,,sǹg-bûa,sng3-bua5,算摩
add,,lia̍h-bûa,liah8-bua5,掠磨
add,,tshòu-ha̍h,chhou3-hah8,湊合
addicted,,hàuⁿ,haunn3,好
addicted,,tham,tham1,貪
addicted,,tsuan-sim,chuan1-sim1,專心
address,a person,tng-mīn-tàⁿ,tng1-min7-tann3,當面呾
address,God,táu-kàu Siãng-tì,tau2-kau3 siang6-ti3,禱致
address,on a letter,sìn-phûe,sin3-phue5,信皮
address,on a letter,huang-phûe,huang1-phue5,封皮
adept,,tóu-lãi mêng-pe̍h,tou2-lai6 meng5-peh8,肚內明白
adept,,thong-thiet,thong1-thiet4,通徹
adept,,se̍k-chhiú,sek8-chhiu2,熟手
adequate,,kàu,kau3,到
adequate,,tsok,chok4,囑
adequate,,kham-tng,kham1-tng1,堪當
adhere,,liâm-tùe,liam5-tue3,廉綴
adhere,,tah-tùe,tah4-tue3,貼綴
adhere,to one’s opinion,chip-ì,chip4-i3,執意
adhesive,,ũ-ka-liâm,u6-ka1-liam5,有膠廉
adhesive,,liâm-nî,liam5-ni5,廉泥
adjacent,,kṳ̃n,kurn6,近
adjacent,,siang-kṳ̃n,siang1-kurn6,雙近
adjacent,,siang-liên,siang1-lien5,雙連
adjacent,,tsò-pû,cho3-pu5,做包
adjacent,,lîn-kṳ̃n,lin5-kurn6,鄰近
adjacent,,tsôiⁿ-ãu,choinn5-au6,前後
adjoining,,siang-liên,siang1-lien5,雙連
adjoining,,sie-chiap,sie1-chiap4,相接
adjoining,,sie-sùa,sie1-sua3,相紲
adjoining,,sie-kiam-kài,sie1-kiam1-kai3,相兼个
adjudicate,,sím-sṳ̄,sim2-sur7,審事
adjudicate,,phōiⁿ-ùaⁿ,phoinn7-uann3,判斷
adjudicate,,phùan-tùan,phuan3-tuan3,判斷
adjudicate,,tùan-ùaⁿ,tuan3-uann3,斷斷
adjust,,chiám-tso̍ih,chiam2-choih8,準截
adjust,,tsôi-chiáⁿ,choi5-chiann2,齊整
adjust,,siu-chiáⁿ,siu1-chiann2,收正
adjust,put in order,an-pâi,an1-pai5,安排
adjust,put in order,tsôi-pĩ,choi5-pi6,齊備
adjust,put in order,siu-si̍p-hó,siu1-sip8-ho2,收拾好
administer,,phōiⁿ-lí,phoinn7-li2,判理
administer,,lí-sṳ̄,li2-sur7,理事
administer,,liāu-lí,liau7-li2,料理
administer,,chiáng-kúan,chiang2-kuan2,掌管
admirable,,hó-thóiⁿ,ho2-thoinn2,好睇
admirable,,tshut-khî,chhut4-khi5,出奇
admiral,,tsúi-sṳ thî-tok,chui2-sur1 thi5-tok4,水師提督
admiral,(lower),tsúi-sṳ tìn-thâi,chui2-sur1 tin3-thai5,水臺
admire,,thóiⁿ kàu-àm-ngì,thoinn2 kau3-am3-ngi3,暗義
admire,,thóiⁿ-tshù-bī,thoinn2-chhu3-bi7,看處味
admission,to give,pun-nâng-ji̍p,pun1-nang5-jip8,分人入
admission,to give,thèng-nâng-ji̍p,theng3-nang5-jip8,聽人入
admission,refuse,bô-nâng-ji̍p,bo5-nang5-jip8,無人入
adolescence,,iùⁿ-nîⁿ,iunn3-ninn5,幼年
adolescence,,thông-nîⁿ,thong5-ninn5,童年
adolescence,,hãu-seⁿ,hau6-senn1,後生
adolescence,,siàu-nîⁿ,siau3-ninn5,少年
adopt,children,iáng-kiáⁿ,iang2-kiann2,養囝
adopt,children,sieh-kiáⁿ,sieh4-kiann2,惜囝
adopt,children,siu-iáng tsò-kiáⁿ,siu1-iang2 cho3-kiann2,收囝
adopt,children,siu-liû tsò-kiáⁿ,siu1-liu5 cho3-kiann2,收囝
adore,,tshông-pài,chhong5-pai3,崇拜
adore,,kũi-pài,kui6-pai3,跪拜
adorn,,siu-sek,siu1-sek4,收飾
adorn,,tá-pàn,ta2-pan3,打扮
adorn,,siu-si̍p phâi-chhiâng,siu1-sip8 phai5-chhiang5,收拾排場
adrift,,phiau-phû,phiau1-phu5,漂浮
adroit,,kha-chhiú õi,kha1-chhiu2 oi6,腳
adroit,,khî-khá,khi5-kha2,奇巧
adulation,,hõng-sêng,hong6-seng5,奉成
adulation,,thiám-mĩⁿ,thiam2-minn6,舔謎
adulation,,pá-kiet,pa2-kiet4,把結
adult,,tōa--nâng,tua7--nang5,大人
adult,,sêng-teng,seng5-teng1,成丁
adult,,chiáng-tōa,chiang2-tua7,長大
adult,,chiáng-sêng,chiang2-seng5,掌成
adulterate,,tsham pa̍t-mue̍h,chham1 pat8-mueh8,參別物
adulterate,,m̄-kan-chẽng,m7-kan1-cheng6,唔乾淨
adulterate,,m̄-chẽng,m7-cheng6,唔淨
adulterer,,kan-hu,kan1-hu1,姦夫
adulterer,,lãu-iẽn,lau6-ien6,老姘
adulterer,,ji̍p-nâng-lãi,jip8-nang5-lai6,入人內
adulteress,,kan-hũ,kan1-hu6,干婦
adulteress,,îm-hũ,im5-hu6,淫婦
adulteress,,tsṳ-niêⁿ tshap--tie̍h-nâng,chur1-nienn5 chhap4--tieh8-nang5,姿娘插着人
adultery,,kan-îm,kan1-im5,姦淫
adultery,,kan--nâng chhi-nńg,kan1--nang5 chhi1-nng2,奸人妻女
adultery,,sṳ-kau,sur1-kau1,師鉤
adultery,,sai-thong,sai1-thong1,私通
adultery,,ji̍p-nâng-lãi,jip8-nang5-lai6,入人內
adultery,,sai-chhêng,sai1-chheng5,私情
adultery,,kan-chhêng,kan1-chheng5,干情
advance,,chìn-tsôiⁿ,chin3-choinn5,進前
advance,daily,che̍k-ji̍t kìⁿ-ji̍t-chìn,chek8-jit8 kinn3-jit8-chin3,一日見日進
advance,money,saiⁿ tshut-chîⁿ,sainn1 chhut4-chinn5,先出錢
advance,advanced guard,sien-hong,sien1-hong1,先鋒
advance,in office,kau-seng,kau1-seng1,高升
advance,in office,chìn-khip,chin3-khip4,進吸
advance,in office,seng-kûiⁿ,seng1-kuinn5,生懸
advantage,,iah,iah4,益
advantage,,lĩ-iah,li6-iah4,利益
advantage,to seek,thû-lĩ,thu5-li6,圖利
advantage,of no advantage,bô-iah,bo5-iah4,無益
advantage,advantageous,ũ-iah,u6-iah4,有益
advantage,advantageous,hó-tit-lĩ,ho2-tit4-li6,好得利
advantage,advantageous,hó-thàn-chîⁿ,ho2-than3-chinn5,好趁錢
adventure,,thèng-tsãu-hùe,theng3-chau6-hue3,聽造化
adventure,adventurous,káⁿ-tsò,kann2-cho3,敢做
adventure,adventurous,káⁿ-ûi,kann2-ui5,敢爲
adventure,adventurous,tōa-táⁿ,tua7-tann2,大膽
adventure,adventurous,thèng-tsãu-hùe tsò,theng3-chau6-hue3 cho3,聽造化做
adverb,,gṳ́-tsõ-sṳ̂,gur2-cho6-sur5,語助詞
adversary,,tùi-thâu,tui3-thau5,對頭
adversary,,uan-ke-thâu,uan1-ke1-thau5,冤家頭
adversary,,chhiû,chhiu5,仇
adversary,,chhiû-te̍k,chhiu5-tek8,仇敵
adversary,,te̍k-chhiú,tek8-chhiu2,敵手
adversary,,chhiû-jîn,chhiu5-jin5,仇人
adversity,,tsai-lān,chai1-lan7,災難
adversity,,tsai-hũa,chai1-hua6,災禍
adversity,,hũam-lān,huam6-lan7,患難
adversity,,eh,eh4,厄
adversity,,nge̍k-kéng,ngek8-keng2,逆境
advertise,,tshut-thiap-kiáⁿ,chhut4-thiap4-kiann2,出帖囝
advertise,,kàu-tsai,kau3-chai1,告知
advertise,lost or stolen articles,tah-thiap-kiáⁿ,tah4-thiap4-kiann2,貼帖囝
advise,,khǹg,khng3,勸
advise,,khǹg-kòi,khng3-koi3,勸戒
advise,,kà,ka3,教
advise,,khai-tãu,khai1-tau6,開道
advocate,,tsò-tiâⁿ,cho3-tiann5,做呈
advocate,,sõng-sṳ,song6-sur1,訟師
advocate,,phõ-kò,pho6-ko3,抱告
adze,,póu-thâu,pou2-thau5,斧頭
afar,,hñg,hng6,遠
afar,,iâu-ién,iau5-ien2,搖遠
afar,to descry from,hñg-hñg mōⁿ-kìⁿ,hng6-hng6 monn7-kinn3,遠遠望見
affable,,un-jiû,un1-jiu5,溫柔
affable,,un-hûa,un1-hua5,溫和
affable,,liâng-siẽn,liang5-sien6,良善
affable,,hiáu-lí,hiau2-li2,曉理
affair,,sṳ̄,sur7,事
affair,,sṳ̄-chhêng,sur7-chheng5,事情
affair,,sṳ̄-bũ,sur7-bu6,事務
affair,an,che̍k-kiãⁿ-sṳ̄,chek8-kiann6-sur7,一件事
affect,,kám-tõng,kam2-tong6,感動
affect,deeply,sieⁿ-sim,sienn1-sim1,傷心
affect,to pretend to be anything,ké--tsò,ke2--cho3,假做
affect,to pretend to be anything,tsuang--tsò,chuang1--cho3,裝做
affect,by external things,gūa-mue̍h só-tõng,gua7-mueh8 so2-tong6,外物所動
affection,,thóng-ài,thong2-ai3,寵愛
affection,,ài-chhêng,ai3-chheng5,愛情
affection,,nâng-chhêng,nang5-chheng5,人情
affection,,ài-sieh,ai3-sieh4,愛惜
affection,affectionate,sie-sieh,sie1-sieh4,相惜
affection,affectionate,siang-ài,siang1-ai3,相愛
affection,mother,tshṳ̂-bó,chhur5-bo2,慈母
affinity,,chhin-so̍k,chhin1-sok8,親屬
affinity,,ngóu-ho̍k,ngou2-hok8,五服
affinity,of kindred,chhin-chhek,chhin1-chhek4,親戚
affinity,by marriage,chhin-chiâⁿ,chhin1-chiann5,親情
affirm,,chèng-kṳ̃,cheng3-kur6,證據
affirm,,chèng-si̍t,cheng3-sit8,證實
affirm,,tàⁿ-sĩ,tann3-si6,呾是
affirm,,chiè-kò-tàⁿ,chie3-ko3-tann3,照塊呾
affix,,tah-tùe,tah4-tue3,貼綴
affix,,sie-chiap,sie1-chiap4,相接
affix,a seal,khap-ìn,khap4-in3,蓋印
afflict,,kia-hāi,kia1-hai7,加害
afflict,,bûa-lān,bua5-lan7,磨難
afflict,,kan-khóu,kan1-khou2,艱苦
