puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,sêng,sîng,,,,succeed in,,成,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ū sêng,ū sîng,,,,succeeded in,,成,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,bô sêng,bô sîng,,,,failed in,,不成,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,seng-kip,sing-kip,,,,promotion,,昇級,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,seng-bu̍t,sing-bu̍t,,,,biology,,生物,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sèng-tē,sìng-tē,,,,"temper, disposition",,性情,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,hó sèng-tē,hó sìng-tē,,,,"patient, good natured",,性情好,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,pháiⁿ sèng-tē,pháinn sìng-tē,,,,short (hot) tempered,,性情壞、壞脾氣,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sī,sī,,,,"to be, is; are",,是,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî,sî,,,,time,,時,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-chūn,sî-tsūn,,,,time,,時候,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-kan,sî-kan,,,,time,,時間,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,chi̍t sî-á,tsi̍t sî-á,,,,for a very short time,,瞬時,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-pió,sî-pió,,,,a watch,,錶,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-cheng,sî-tsing,,,,a clock,,時鐘,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-kan-pió,sî-kan-pió,,,,"timetable, schedule (school, station)",,時間表,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sí-khì,sí-khì,,,,to die,,死去,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,si,si,,,,.2934 [penn5],,絲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sī-tōa,sī-tuā,,,,superiors,,長輩、長上,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sī-sè,sī-sè,,,,inferiors,,下屬、下輩,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sī-tōa lâng,sī-tuā lâng,,,,parents,,長輩者、父母,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî,sî,,,,"resign one's office (post), to fuse",,辭,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sì-kak,sì-kak,,,,"square, four-cornered",,四角,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-kiâⁿ,sî-kiânn,,,,"fashion, fashionable",,流行、時髦,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sî-koe,sî-kue,,,,watermelon,,西瓜,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,si,si,,,,"a poem, Chinese poem, verse",,詩,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sìⁿ,sìnn,,,,clan (family) name. May be uesd s a verb.,,姓,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siⁿ,sinn,,,,to give birth,,生,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siⁿ âng-eⁿ iⁿ-á,sinn âng-enn inn-á,,,,to give birth to a baby,,生孩子,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siⁿ-ji̍t,sinn-ji̍t,,,,birthday,,生日,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siⁿ-sian,sinn-sian,,,,become rusty,,生鏽,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sian-siⁿ,sian-sinn,,,,Mr.; thacher,,先生,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sìⁿ-miā,sìnn-miā,,,,life,,生命,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siⁿ-ko͘,sinn-koo,,,,to get mouldy,,生黴,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sìⁿ,sìnn,,,,a fan,,扇,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,tiān-sìⁿ,tiān-sìnn,,,,an electric fan,,電扇,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sīⁿ,sīnn,,,,to pickle,,以鹽汁或酸水防腐,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sīⁿ-iâm,sīnn-iâm,,,,to salt,,以鹽醃,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siá,siá,,,,to write,,寫,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siá hàn-jī,siá hàn-jī,,,,to write characters,,寫漢文、寫中國字,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siá-phoe,siá-phue,,,,to write letters,,寫信,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sià-bián,sià-bián,,,,"to forgive, forgiveness",,赦免,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siâ-îm,siâ-îm,,,,lust,,邪淫,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sia,sia,,,,to buy or sell on credit,,賒,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siā,siā,,,,"to fade, wither (as a flower)",,凋謝,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,hōe-siā,huē-siā,,,,"a company, a business",,公司,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siā,siā,,,,to shoot (an arrow),,射,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siā-chìⁿ,siā-tsìnn,,,,to shoot an arrow,,射矢,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siā-chōe,siā-tsuē,,,,"to make an apology, to apologize",,謝罪,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sià-chōe,sià-tsuē,,,,to forgive sin; to pardon guilt,,赦罪,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siā-lé,siā-lé,,,,a reward (with money); to give a present of money,,謝禮,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siâ-sîn,siâ-sîn,,,,evil spirits; false gods,,邪神,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siâ-kàu,siâ-kàu,,,,a false religion,,邪教,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siaⁿ,siann,,,,"tone, sound, voice",,聲、音,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,tē it siaⁿ,tē it siann,,,,the first tone,,第一聲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,tē peh siaⁿ,tē peh siann,,,,the eighth tone,,第八聲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,choán siaⁿ,tsuán siann,,,,to change the tone,,轉音,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siáⁿ-hòe,siánn-huè,,,,What?,,什麼,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siáⁿ-lâng,siánn-lâng,,,,Who?,,誰,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siaⁿ,siann,,,,"sound, voice, tone",,聲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,tōa siaⁿ,tuā siann,,,,loud,,大聲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sè siaⁿ,sè siann,,,,in a low voice,,小聲,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siâⁿ,siânn,,,,"a castle, a portion (ten percent)",,成、城,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siâⁿ,siânn,,,,"to decoy; to allure, to try to catch by a bait",,引誘,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siah,siah,,,,"to whittle, or pare with a knife",,削,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siah iân-pit,siah iân-pit,,,,to sharpen a pencil,,削鉛筆,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siah-phôe,siah-phuê,,,,to pare off the skin (fruit),,削皮,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siah,siah,,,,"solder, pewter",,錫、白蠟、銲藥,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,ēng siah liâm,īng siah liâm,,,,to solder,,以白蠟接合,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,liâm-siah--ê,liâm-siah--ê,,,,a tinsmith,,錫匠、馬口鐵匠,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sia̍h-á,sia̍h-á,,,,a ladle,,勺子,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siám,siám,,,,"get out of the way, to avoid, to dodge",,避、閃避,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,khah siám lè,khah siám lè,,,,Get out of the way!,,走開、避開,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sian-siⁿ,sian-sinn,,,,"teach, Mr., Sir",,先生、老師,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siān,siān,,,,to be tired,,疲倦、累,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siān-lâng-á,siān-lâng-á,,,,a gecko,,壁虎,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siàn,siàn,,,,to slap,,擊掌,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,sian,sian,,,,"dirt, filth, rust",,垢、銹、€,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,seⁿ-sian,senn-sian,,,,to get rusty,,生垢,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siàn-tōng,siàn-tōng,,,,"to incite, to instigate",,煽動,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,siang,siang,,,,a pair,,雙、双,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,chi̍t siang ê,tsi̍t siang ê,,,,a pair of shoes,,一雙鞋子,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
,,chi̍t siang boe̍h-á,tsi̍t siang bue̍h-á,,,,a pair of socks,,一雙襪子,ChhoeTaigi > ChhoeTaigi_TaioanPehoeKichhooGiku
