puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,chhùi-khí-thiàⁿ,tshuì-khí-thiànn,,喙齒疼,,,,牙痛,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Iâm-lô-chheⁿ,Iâm-lô-tshenn,,閻羅星,,,,冥王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Iâm-lô-chhiⁿ,Iâm-lô-tshinn,,閻羅星,,,,冥王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Má-chó͘-chheⁿ,Má-tsóo-tshenn,,媽祖星,,,,海王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Má-chó͘-chhiⁿ,Má-tsóo-tshinn,,媽祖星,,,,海王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Thiⁿ-kong-chheⁿ,Thinn-kong-tshenn,,天公星,,,,天王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Thiⁿ-kong-chhiⁿ,Thinn-kong-tshinn,,天公星,,,,天王星,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,thâu-chêng,thâu-tsîng,,頭前,,,,前面的,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,āu-bīn,āu-bīn,,後面,,,,後面的,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,góa ē-hiáu kóng,guá ē-hiáu kóng,,我會曉講,,,,我會說,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phi̍h-phi̍h-chhoah,phi̍h-phi̍h-tshuah,,咇咇掣,,,,顫抖,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,siān-tauh-tauh,siān-tauh-tauh,,,,,,疲倦,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,e-phi-phi,e-phi-phi,,,,,,手機應用程式,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chúi-sò͘,tsúi-sòo,,水素,,,,氫,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,jı̍t-sò͘,jı̍t-sòo,,日素,,,,氦,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tiⁿ-sò͘,tinn-sòo,,甜素,,,,鈹,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khó͘-sò͘,khóo-sòo,,苦素,,,,鎂,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lí hó,lí hó,,你好,,,,你好,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,iâm-sò͘,iâm-sòo,,鹽素,,,,氯,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhàu-sò͘,tshàu-sòo,,臭素,,,,溴,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kha-thâu-u,kha-thâu-u,,跤頭趺,,,,膝,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,phah chhia-phiò,phah tshia-phiò,,拍車票,,,,買車票,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,han-chî-hio̍h,han-tsî-hio̍h,,番薯葉,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,mî-nōa,mî-nuā,,綿爛,,,,熱衷,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhiah-ia̍h,tshiah-ia̍h,,刺疫,,,,討厭,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kòe-kau-chhài,kuè-kau-tshài,,過溝菜,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kè-kau-chhài,kè-kau-tshài,,過溝菜,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,o͘-chhiⁿ,oo-tshinn,,烏青,,,,瘀傷,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,o͘-chheⁿ,oo-tshenn,,烏青,,,,瘀傷,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lí hó,lí hó,,你好,,,,妳好,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhoah sái,tshuah sái,,疶屎,,,,拉屎,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,iu-iû-khah,iu-iû-khah,,悠遊卡,,,,悠遊卡,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tu̍h-lān,tu̍h-lān,,,,,,討厭,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,pháng-kauh,pháng-kauh,,,,,,三明治,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,giâ-nn̄g,giâ-nn̄g,,鵝卵,,,,巨蛋,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,gô-nn̄g,gô-nn̄g,,鵝卵,,,,巨蛋,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Bí-kok-koah-pau,Bí-kok-kuah-pau,,美國割包,,,,漢堡,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Tâi-oân,Tâi-uân,,臺灣,,,,台灣,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kàn-lín-niâ,kàn-lín-niâ,,姦恁娘,,,,幹你娘,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kâu-sí-gín-á,kâu-sí-gín-á,,猴死囡仔,,,,小屁孩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kâu-sí-gín-á,kâu-sí-gín-á,,猴死囡仔,,,,死小孩,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,táⁿ-kiap,tánn-kiap,,打劫,,,,打劫,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,han-chî-hio̍h-á,han-tsî-hio̍h-á,,番薯葉仔,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,han-chû-hio̍h-á,han-tsû-hio̍h-á,,番薯葉仔,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,se-chng,se-tsng,,梳妝,,,,梳妝,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,soe-chng,sue-tsng,,梳妝,,,,梳妝,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ún-hîng-ba̍k-kiàⁿ,ún-hîng-ba̍k-kiànn,,隱形目鏡,,,,隱形眼鏡,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,lí kóng--leh,lí kóng--leh,,你講咧,,,,你說咧,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sàng-sòo,sàng-sòo,,酸素,,,,氧氣,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ē-po͘-tê,ē-poo-tê,,下晡茶,,,,下午茶,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,e-po͘-tê,e-poo-tê,,下晡茶,,,,下午茶,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kha-chhiú chiān,kha-tshiú tsiān,,跤手賤,,,,手腳不乾淨,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,koah chhia-toaⁿ,kuah tshia-tuann,,割車單,,,,買車票,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,koe-á-chhiu,kue-á-tshiu,,瓜仔鬚,,,,龍鬚菜,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,kái-piⁿ,kái-pinn,,骱邊,,,,鼠蹊溝,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tio̍h--bô,tio̍h--bô,,著無,,,,對不對,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sé-bīn-chō,sé-bīn-tsō,,洗面皂,,,,洗面乳,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sóe-bīn-chō,sué-bīn-tsō,,洗面皂,,,,洗面乳,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sé-bīn--ê,sé-bīn--ê,,洗面的,,,,洗面乳,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,sóe-bīn--ê,sué-bīn--ê,,洗面的,,,,洗面乳,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,han-chî-hio̍h,han-tsî-hio̍h,,番薯葉,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,han-chû-hio̍h,han-tsû-hio̍h,,番薯葉,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ti-chhài,ti-tshài,,豬菜,,,,地瓜葉,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,hóe-sio-sim,hué-sio-sim,,火燒心,,,,心灼痛,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,khàu-iau,khàu-iau,,哭枵,,,,靠夭,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhut-seng ji̍t-kî,tshut-sing ji̍t-kî,,出生日期,,,,出生日期,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,gêng-hoeh,gîng-hueh,,凝血,,,,凝血,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,gêng-huih,gîng-huih,,凝血,,,,凝血,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,ba̍k-chhái,ba̍k-tshái,,目彩,,,,眼影,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bàng-gah,bàng-gah,,漫畫,,,,卡通,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bàng-kah,bàng-kah,,漫畫,,,,卡通,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bīn-chu,bīn-tsu,,面書,,,,FB,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,bīn-chṳ,bīn-tsir,,面書,,,,FB,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhut-sì-nî-goe̍h,tshut-sì-nî-gue̍h,,出世年月,,,,出生日期,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhut-sì-nî-ge̍h,tshut-sì-nî-ge̍h,,出世年月,,,,出生日期,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chheh-hêng tiān-náu,tsheh-hîng tiān-náu,,冊型電腦,,,,筆記型電腦,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,tah-ba̍k-kiàⁿ-jîn,tah-ba̍k-kiànn-jîn,,貼目鏡仁,,,,隱形眼鏡,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chian-chúi-kiáu,tsian-tsuí-kiáu,,煎水餃,,,,煎水餃,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,té-kûn,té-kûn,,短裙,,,,短裙,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,Thài-pêng-tó͘,Thài-pîng-tóo,,太平島,,,,太平島,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,chhiau-kip-chhī-tiûⁿ,tshiau-kip-tshī-tiûnn,,超級市場,,,,超級市場,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,liông-kut-chhóe,liông-kut-tshué,,龍骨髓,,,,脊髓,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,liông-kut-chhé,liông-kut-tshé,,龍骨髓,,,,脊髓,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,To-lá-é-bōng,To-lá-é-bōng,,,,,,哆啦A夢,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
,,án-chóaⁿ kóng,án-tsuánn kóng,,按怎講,,,,怎樣講,ChhoeTaigi > ChhoeTaigi_iTaigiHoataiTuichiautian
