puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,Chhit-chhùn-kim,Tshit-tshùn-kim,,七寸金,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kńg-peh,Kńg-peh,,卷柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lêng-lân-chháu,Lîng-lân-tsháu,,龍麟草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kńg-peh,Kńg-peh,,卷柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bān-liân-siông,Bān-liân-siông,,萬年松,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,So͘-thih,Soo-thih,,蘇鐵,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Âng-sam,Âng-sam,,紅杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soaⁿ-sam,Suann-sam,,山杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pah-jit-chhiⁿ,Pah-jit-tshinn,,百日青,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tek-peh,Tik-peh,,竹柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pah-jit-chhiⁿ,Pah-jit-tshinn,,百日青,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Thó͘-sam,Thóo-sam,,土杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pe̍h-chhêng-peh,Pe̍h-tshîng-peh,,白松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tō͘,Tōo,,杜,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Iû-sam,Iû-sam,,油杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pe̍h-chhêng-peh,Pe̍h-tshîng-peh,,白松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-lô-tō͘,Siông-lô-tōo,,松蘿杜,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhêng,Tshîng,,松,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Âng-chhêng-peh,Âng-tshîng-peh,,紅松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhêng-peh,Tshîng-peh,,松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhêng-peh,Tshîng-peh,,松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pat-tiōng-san-chhêng-peh,Pat-tiōng-san-tshîng-peh,,八重山松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhêng-peh,Tshîng-peh,,松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-lô,Siông-lô,,松蘿,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-lô,Siông-lô,,松蘿,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhêng-peh,Tshîng-peh,,松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhêng-peh,Tshîng-peh,,松柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Iû-chhêng,Iû-tshîng,,油杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sam,Sam,,杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tōa-tiam-ú-sam,Tuā-tiam-ú-sam,,大點雨杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sam,Sam,,杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kóng-hio̍h-sam,Kóng-hio̍h-sam,,廣葉杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sam-á,Sam-á,,杉仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hok-chiu-sam,Hok-tsiu-sam,,福州杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hiuⁿ-sam,Hiunn-sam,,香杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,O͘-sam,Oo-sam,,烏杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Un-chiu-sam,Un-tsiu-sam,,溫州杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,A-sam,A-sam,,亞杉,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-lô,Siông-lô,,松蘿,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Po̍h-phê,Po̍h-phê,,薄皮,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-lô,Siông-lô,,松蘿,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-ngô͘,Siông-ngôo,,松梧,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kāu-khak,Kāu-khak,,厚殼,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-lô,Siông-lô,,松蘿,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siông-ngô͘,Siông-ngôo,,松梧,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Siau-lâm,Siau-lâm,,肖楠,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,N̂g-bah-chhiū,N̂g-bah-tshiū,,黃肉樹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhek-peh,Tshik-peh,,側柏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-chek,Tsuí-tsik,,水燭,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soaⁿ-nâ-tâu,Suann-nâ-tâu,,山林投,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Nâ-tâu,Nâ-tâu,,林投,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sòe-pún-ka-choa̍h-si̍t,Suè-pún-ka-tsua̍h-si̍t,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ka-choa̍h-si̍t,Ka-tsua̍h-si̍t,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-ō͘,Tsuí-ōo,,水芋,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chu̍t-bí-chháu,Tsu̍t-bí-tsháu,,秫米草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Si-sòaⁿ-chháu,Si-suànn-tsháu,,絲線草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chìⁿ-tek-á,Tsìnn-tik-á,,矢竹仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chìⁿ-tek,Tsìnn-tik,,箭竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lô͘-tek,Lôo-tik,,蘆竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-lô͘-tek,Tsuí-lôo-tik,,水蘆竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tn̂g-ki-á-tek,Tn̂g-ki-á-tik,,長枝仔竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kak-á-tek,Kak-á-tik,,桷仔竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tn̂g-ki-á,Tn̂g-ki-á,,長枝仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hé-kn̂g-tek,Hé-kn̂g-tik,,火管竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Koan-im-tek,Kuan-im-tik,,觀音竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hōng-bé-tek,Hōng-bé-tik,,鳳尾竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lek-tek,Lik-tik,,綠竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chiⁿ-tek,Tsinn-tik,,矢竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Koan-im-tek,Kuan-im-tik,,觀音竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhì-tek,Tshì-tik,,刺竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sóe-á,Sué-á,,黍仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tâi-á,Tâi-á,,檯仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sóe-á,Sué-á,,黍仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kim-káu-á-mn̂g,Kim-káu-á-mn̂g,,金狗仔毛,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Káu-bé-chháu,Káu-bé-tsháu,,狗尾草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ah-bú-chu,Ah-bú-tsu,,鴨母珠,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hiang-hm̂,Hiang-hm̂,,香茅,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Môa-tek,Muâ-tik,,蔴竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Phōe,Phuē,,稗,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soaⁿ-âng-be̍h,Suann-âng-be̍h,,山紅麥,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lêng-jiáu-sek,Lîng-jiáu-sik,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hî-liu-chháu,Hî-liu-tsháu,,魚鰌草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Gû-tùn-chháu,Gû-tùn-tsháu,,牛頓草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bān-kun-chháu,Bān-kun-tsháu,,萬斤草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hoan-sóe,Huan-sué,,蕃黍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sóe-á,Sué-á,,黍仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lō͘-sóe,Lōo-sué,,蘆黍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tōa-be̍h,Tuā-be̍h,,大麥,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hm̂-chháu,Hm̂-tsháu,,茅草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hm̂-á-chháu,Hm̂-á-tsháu,,茅仔草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hm̂-á,Hm̂-á,,茅仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhoan-san-liông,Tshuan-san-liông,,穿山龍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tām-tek,Tām-tik,,淡竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soan-á,Suan-á,,萱仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soan-á,Suan-á,,萱仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Koaⁿ-bâng,Kuann-bâng,,菅芒,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chu̍t-bí-chháu,Tsu̍t-bí-tsháu,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tiū-á,Tiū-á,,稻仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Po͘-tiū,Poo-tiū,,埔稻,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ah-kha-sóe,Ah-kha-sué,,鴨腳黍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,N̂g-sek,N̂g-sik,,黃粟,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sóe-á,Sué-á,,黍仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tōa-hong-chháu,Tuā-hong-tsháu,,大風草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hong-thai-chháu,Hong-thai-tsháu,,風颱草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Jîn-biān-tek,Jîn-biān-tik,,人面竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chio̍h-tek-á,Tsio̍h-tik-á,,石竹仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chio̍h-tek,Tsio̍h-tik,,石竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kiō-kǹg-tek,Kiō-kǹg-tik,,轎槓竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kùi-tek-á,Kuì-tik-á,,桂竹仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kùi-tek,Kuì-tik,,桂竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,O͘-tek-á,Oo-tik-á,,烏竹仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bâ-lî-tek,Bâ-lî-tik,,茅茹竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bēng-chong-tek,Bēng-tsong-tik,,孟宗竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pit-á-chháu,Pit-á-tsháu,,筆仔草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Âng-mn̂g-chháu,Âng-mn̂g-tsháu,,紅毛草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tē-lō͘-giâ-kang,Tē-lōo-giâ-kang,,地路蜈蚣,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kam-chià,Kam-tsià,,甘蔗,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,La̍h-chhì,La̍h-tshì,,臘刺,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Gû-tùn-chháu,Gû-tùn-tsháu,,牛頓草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Mn̂g-hōe-chháu,Mn̂g-huē-tsháu,,磅蟹草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Be̍h-á,Be̍h-á,,麥仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sió-be̍h,Sió-be̍h,,小麥,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Hoan-be̍h,Huan-be̍h,,蕃麥,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kha-pe̍h-sún,Kha-pe̍h-sún,,腳白筍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ka-pe̍h-sún,Ka-pe̍h-sún,,茭白筍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Thô͘-hiuⁿ,Thôo-hiunn,,土香,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-teng-sim-chháu,Tsuí-ting-sim-tsháu,,水燈心草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bé-chî,Bé-tsî,,碼薯,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Sat-pìn-chháu,Sat-pìn-tsháu,,虱篦草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pe̍h-hiong-hù,Pe̍h-hiong-hù,,白香附,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bô-thâu-hiuⁿ,Bô-thâu-hiunn,,無頭香,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Bô-thâu-thô͘-hiuⁿ,Bô-thâu-thôo-hiunn,,無頭土香,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhio̍h-chháu,Tshio̍h-tsháu,,蓆草,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pin-nn̂g,Pin-nn̂g,,檳榔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhiⁿ-á,Tshinn-á,,菁仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Soaⁿ-chang,Suann-tsang,,山棕,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-tîn,Tsuí-tîn,,水籐,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,N̂g-tîn,N̂g-tîn,,黃籐,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tîn,Tîn,,藤,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Iâ-phiô,Iâ-phiô,,椰瓢,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Pô͘-kûi,Pôo-kuî,,蒲葵,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Khong-lông,Khong-lông,,糠榔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kong-lông,Kong-lông,,桄榔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Koan-im-tek,Kuan-im-tik,,觀音竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Liû-kiû-tek,Liû-kiû-tik,,琉球竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Kun-thâu-tek,Kun-thâu-tik,,筋頭竹,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chang,Tsang,,棕,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhong-pô,Tshong-pô,,菖蒲,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chio̍h-chhiong-pô,Tsio̍h-tshiong-pô,,石菖蒲,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chio̍h-chhiong-pô͘,Tsio̍h-tshiong-pôo,,石菖蒲,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ko-pô-ō͘,Ko-pô-ōo,,姑婆芋,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Lûi-kong-chhèng,Luî-kong-tshìng,,雷公銃,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Thian-lâm-seng,Thian-lâm-sing,,天南星,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Ō͘-á,Ōo-á,,芋仔,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Phû-chúi-liân-hoe,Phû-tsuí-liân-hue,,浮水蓮花,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Tōa-phiô,Tuā-phiô,,大萍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Thó͘-poàn-hā,Thóo-puàn-hā,,土半夏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Èng-chhài-hông,Ìng-tshài-hông,,甕菜黃,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Poàn-hā,Puàn-hā,,半夏,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhiⁿ-poàn-hā,Tshinn-puàn-hā,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Âng-phiô,Âng-phiô,,紅萍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chhiⁿ-phiô,Tshinn-phiô,,青萍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Thái-ko-phiô,Thái-ko-phiô,,,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-piàn-tē-gím,Tsuí-piàn-tē-gím,,水遍地錦,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-piàn-tē-gím,Tsuí-piàn-tē-gím,,水遍地錦,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
,,Chúi-phiô,Tsuí-phiô,,水萍,,,,,ChhoeTaigi > ChhoeTaigi_TaioanSitbutMialui
