puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,hah⁴,,,,瓣,,,,,dieghv > tenghai.dict
,hah⁸,,,,合,,,,,dieghv > tenghai.dict
,hah⁸,,,,鉿,,,,,dieghv > tenghai.dict
,za¹,,,,咱,,,,,dieghv > tenghai.dict
,za¹,,,,咤,,,,,dieghv > tenghai.dict
,za¹,,,,吒,,,,,dieghv > tenghai.dict
,za¹,,,,嗟,,,,,dieghv > tenghai.dict
,za¹,,,,喳,,,,,dieghv > tenghai.dict
,za¹,,,,揸,,,,,dieghv > tenghai.dict
,za¹,,,,槎,,,,,dieghv > tenghai.dict
,za¹,,,,茬,,,,,dieghv > tenghai.dict
,za¹,,,,查,,,,,dieghv > tenghai.dict
,za¹,,,,楂,,,,,dieghv > tenghai.dict
,za¹,,,,猹,,,,,dieghv > tenghai.dict
,za¹,,,,侘,,,,,dieghv > tenghai.dict
,za¹,,,,碴,,,,,dieghv > tenghai.dict
,za¹,,,,渣,,,,,dieghv > tenghai.dict
,za¹,,,,溠,,,,,dieghv > tenghai.dict
,za¹,,,,瘥,,,,,dieghv > tenghai.dict
,za¹,,,,皻,,,,,dieghv > tenghai.dict
,za¹,,,,齇,,,,,dieghv > tenghai.dict
,za¹,,,,餷,,,,,dieghv > tenghai.dict
,za¹,,,,蹉,,,,,dieghv > tenghai.dict
,za¹,,,,髽,,,,,dieghv > tenghai.dict
,za²,,,,蚤,,,,,dieghv > tenghai.dict
,za²,,,,早,,,,,dieghv > tenghai.dict
,za²,,,,昔,,,,,dieghv > tenghai.dict
,za²,,,,昨,,,,,dieghv > tenghai.dict
,za²,,,,痄,,,,,dieghv > tenghai.dict
,za³,,,,乍,,,,,dieghv > tenghai.dict
,za³,,,,咋,,,,,dieghv > tenghai.dict
,za³,,,,怍,,,,,dieghv > tenghai.dict
,za³,,,,怎,,,,,dieghv > tenghai.dict
,za³,,,,榨,,,,,dieghv > tenghai.dict
,za³,,,,搾,,,,,dieghv > tenghai.dict
,za³,,,,窄,,,,,dieghv > tenghai.dict
,za³,,,,炸,,,,,dieghv > tenghai.dict
,za³,,,,柞,,,,,dieghv > tenghai.dict
,za³,,,,蚱,,,,,dieghv > tenghai.dict
,za³,,,,砟,,,,,dieghv > tenghai.dict
,za³,,,,詐,,,,,dieghv > tenghai.dict
,za³,,,,鮓,,,,,dieghv > tenghai.dict
,zah⁴,,,,𠷿,,,,,dieghv > tenghai.dict
,zah⁸,,,,卡,,,,,dieghv > tenghai.dict
,zah⁸,,,,柵,,,,,dieghv > tenghai.dict
,zah⁸,,,,炸,,,,,dieghv > tenghai.dict
,zah⁸,,,,閘,,,,,dieghv > tenghai.dict
,ca¹,,,,差,,,,,dieghv > tenghai.dict
,ca¹,,,,岔,,,,,dieghv > tenghai.dict
,ca¹,,,,嵯,,,,,dieghv > tenghai.dict
,ca¹,,,,搓,,,,,dieghv > tenghai.dict
,ca¹,,,,叉,,,,,dieghv > tenghai.dict
,ca¹,,,,衩,,,,,dieghv > tenghai.dict
,ca¹,,,,杈,,,,,dieghv > tenghai.dict
,ca¹,,,,䟕,,,,,dieghv > tenghai.dict
,ca¹,,,,汊,,,,,dieghv > tenghai.dict
,ca²,,,,炒,,,,,dieghv > tenghai.dict
,ca³,,,,詫,,,,,dieghv > tenghai.dict
,ca³,,,,蹅,,,,,dieghv > tenghai.dict
,ca³,,,,礤,,,,,dieghv > tenghai.dict
,ca³,,,,姹,,,,,dieghv > tenghai.dict
,ca³,,,,奼,,,,,dieghv > tenghai.dict
,ca³,,,,仛,,,,,dieghv > tenghai.dict
,cah⁴,,,,插,,,,,dieghv > tenghai.dict
,cah⁴,,,,歃,,,,,dieghv > tenghai.dict
,cah⁴,,,,臿,,,,,dieghv > tenghai.dict
,cah⁴,,,,鍤,,,,,dieghv > tenghai.dict
,ca⁵,,,,柴,,,,,dieghv > tenghai.dict
,ca⁵,,,,垞,,,,,dieghv > tenghai.dict
,sa¹,,,,沙,,,,,dieghv > tenghai.dict
,sa¹,,,,筲,,,,,dieghv > tenghai.dict
,sa¹,,,,莎,,,,,dieghv > tenghai.dict
,sa³,,,,撒,,,,,dieghv > tenghai.dict
,sa⁶,,,,傻,,,,,dieghv > tenghai.dict
,sa⁶,,,,啥,,,,,dieghv > tenghai.dict
,o¹,,,,窩,,,,,dieghv > tenghai.dict
,o¹,,,,噢,,,,,dieghv > tenghai.dict
,o¹,,,,啊,,,,,dieghv > tenghai.dict
,o¹,,,,婀,,,,,dieghv > tenghai.dict
,o¹,,,,媧,,,,,dieghv > tenghai.dict
,o¹,,,,渦,,,,,dieghv > tenghai.dict
,o¹,,,,呵,,,,,dieghv > tenghai.dict
,o¹,,,,訶,,,,,dieghv > tenghai.dict
,o¹,,,,萵,,,,,dieghv > tenghai.dict
,o¹,,,,屙,,,,,dieghv > tenghai.dict
,o¹,,,,阿,,,,,dieghv > tenghai.dict
,o¹,,,,倭,,,,,dieghv > tenghai.dict
,o²,,,,襖,,,,,dieghv > tenghai.dict
,o³,,,,澳,,,,,dieghv > tenghai.dict
,o³,,,,奧,,,,,dieghv > tenghai.dict
,o³,,,,懊,,,,,dieghv > tenghai.dict
,o³,,,,隩,,,,,dieghv > tenghai.dict
,o³,,,,嶴,,,,,dieghv > tenghai.dict
,o³,,,,圫,,,,,dieghv > tenghai.dict
,oh⁴,,,,呃,,,,,dieghv > tenghai.dict
,o⁵,,,,菏,,,,,dieghv > tenghai.dict
,o⁵,,,,蚝,,,,,dieghv > tenghai.dict
,o⁵,,,,荷,,,,,dieghv > tenghai.dict
,o⁶,,,,臥,,,,,dieghv > tenghai.dict
,o⁶,,,,荷,,,,,dieghv > tenghai.dict
,o⁶,,,,嚄,,,,,dieghv > tenghai.dict
,o⁷,,,,哦,,,,,dieghv > tenghai.dict
,o⁷,,,,喔,,,,,dieghv > tenghai.dict
,bo¹,,,,波,,,,,dieghv > tenghai.dict
,bo¹,,,,嶓,,,,,dieghv > tenghai.dict
,bo¹,,,,坡,,,,,dieghv > tenghai.dict
,bo¹,,,,玻,,,,,dieghv > tenghai.dict
,bo¹,,,,啵,,,,,dieghv > tenghai.dict
,bo¹,,,,菠,,,,,dieghv > tenghai.dict
,bo¹,,,,陂,,,,,dieghv > tenghai.dict
,bo²,,,,保,,,,,dieghv > tenghai.dict
,bo²,,,,寶,,,,,dieghv > tenghai.dict
,bo³,,,,報,,,,,dieghv > tenghai.dict
,boh⁴,,,,舶,,,,,dieghv > tenghai.dict
,boh⁴,,,,駁,,,,,dieghv > tenghai.dict
,bo⁵,,,,婆,,,,,dieghv > tenghai.dict
,bo⁷,,,,薄,,,,,dieghv > tenghai.dict
,boh⁸,,,,泊,,,,,dieghv > tenghai.dict
,boh⁸,,,,礴,,,,,dieghv > tenghai.dict
,boh⁸,,,,薄,,,,,dieghv > tenghai.dict
,boh⁸,,,,鉑,,,,,dieghv > tenghai.dict
,boh⁸,,,,箔,,,,,dieghv > tenghai.dict
,po²,,,,叵,,,,,dieghv > tenghai.dict
,po²,,,,跛,,,,,dieghv > tenghai.dict
,po²,,,,鉕,,,,,dieghv > tenghai.dict
,po²,,,,頗,,,,,dieghv > tenghai.dict
,po²,,,,笸,,,,,dieghv > tenghai.dict
,poh⁴,,,,粕,,,,,dieghv > tenghai.dict
,po⁵,,,,皤,,,,,dieghv > tenghai.dict
,po⁵,,,,婆,,,,,dieghv > tenghai.dict
,po⁶,,,,抱,,,,,dieghv > tenghai.dict
,mo¹,,,,芼,,,,,dieghv > tenghai.dict
,mo¹,,,,嘛,,,,,dieghv > tenghai.dict
,mo¹,,,,饃,,,,,dieghv > tenghai.dict
,mo²,,,,孬,,,,,dieghv > tenghai.dict
,moh⁴,,,,麽,,,,,dieghv > tenghai.dict
,moh⁴,,,,麼,,,,,dieghv > tenghai.dict
,mo⁵,,,,摩,,,,,dieghv > tenghai.dict
,mo⁵,,,,蘑,,,,,dieghv > tenghai.dict
,mo⁵,,,,摹,,,,,dieghv > tenghai.dict
,mo⁵,,,,毛,,,,,dieghv > tenghai.dict
,mo⁵,,,,嫫,,,,,dieghv > tenghai.dict
,mo⁵,,,,蟆,,,,,dieghv > tenghai.dict
,mo⁵,,,,謨,,,,,dieghv > tenghai.dict
,mo⁵,,,,模,,,,,dieghv > tenghai.dict
,mo⁵,,,,魔,,,,,dieghv > tenghai.dict
,mo⁶,,,,募,,,,,dieghv > tenghai.dict
,mo⁶,,,,墓,,,,,dieghv > tenghai.dict
,mo⁶,,,,慕,,,,,dieghv > tenghai.dict
,mo⁶,,,,幕,,,,,dieghv > tenghai.dict
,mo⁶,,,,暮,,,,,dieghv > tenghai.dict
,mo⁶,,,,莫,,,,,dieghv > tenghai.dict
,mo⁷,,,,望,,,,,dieghv > tenghai.dict
,mo⁷,,,,磨,,,,,dieghv > tenghai.dict
,moh⁸,,,,漠,,,,,dieghv > tenghai.dict
,moh⁸,,,,瘼,,,,,dieghv > tenghai.dict
,moh⁸,,,,膜,,,,,dieghv > tenghai.dict
,bho²,,,,姥,,,,,dieghv > tenghai.dict
,bho²,,,,母,,,,,dieghv > tenghai.dict
,bho²,,,,拇,,,,,dieghv > tenghai.dict
,bho⁵,,,,无,,,,,dieghv > tenghai.dict
,bho⁵,,,,毋,,,,,dieghv > tenghai.dict
,bho⁵,,,,無,,,,,dieghv > tenghai.dict
,bho⁵,,,,亡,,,,,dieghv > tenghai.dict
,bho⁷,,,,帽,,,,,dieghv > tenghai.dict
,do¹,,,,刀,,,,,dieghv > tenghai.dict
,do¹,,,,敠,,,,,dieghv > tenghai.dict
,do¹,,,,敪,,,,,dieghv > tenghai.dict
,do¹,,,,多,,,,,dieghv > tenghai.dict
,do¹,,,,哆,,,,,dieghv > tenghai.dict
,do²,,,,倒,,,,,dieghv > tenghai.dict
,do²,,,,嚲,,,,,dieghv > tenghai.dict
,do²,,,,短,,,,,dieghv > tenghai.dict
,do³,,,,戴,,,,,dieghv > tenghai.dict
,do³,,,,倒,,,,,dieghv > tenghai.dict
,doh⁴,,,,卓,,,,,dieghv > tenghai.dict
,doh⁴,,,,倬,,,,,dieghv > tenghai.dict
,doh⁴,,,,桌,,,,,dieghv > tenghai.dict
,doh⁴,,,,啄,,,,,dieghv > tenghai.dict
,doh⁴,,,,踔,,,,,dieghv > tenghai.dict
,doh⁴,,,,諑,,,,,dieghv > tenghai.dict
,do⁵,,,,剁,,,,,dieghv > tenghai.dict
,do⁵,,,,垛,,,,,dieghv > tenghai.dict
,do⁵,,,,朵,,,,,dieghv > tenghai.dict
,do⁵,,,,埵,,,,,dieghv > tenghai.dict
,do⁵,,,,跺,,,,,dieghv > tenghai.dict
,do⁵,,,,躲,,,,,dieghv > tenghai.dict
,do⁵,,,,逃,,,,,dieghv > tenghai.dict
,do⁶,,,,在,,,,,dieghv > tenghai.dict
,do⁶,,,,垛,,,,,dieghv > tenghai.dict
,do⁶,,,,朵,,,,,dieghv > tenghai.dict
,do⁷,,,,代,,,,,dieghv > tenghai.dict
,do⁷,,,,袋,,,,,dieghv > tenghai.dict
,do⁷,,,,埭,,,,,dieghv > tenghai.dict
,doh⁸,,,,擇,,,,,dieghv > tenghai.dict
,doh⁸,,,,奪,,,,,dieghv > tenghai.dict
,to¹,,,,胎,,,,,dieghv > tenghai.dict
,to²,,,,妥,,,,,dieghv > tenghai.dict
,to²,,,,炧,,,,,dieghv > tenghai.dict
,to²,,,,唾,,,,,dieghv > tenghai.dict
,to²,,,,橢,,,,,dieghv > tenghai.dict
,to²,,,,討,,,,,dieghv > tenghai.dict
,to³,,,,退,,,,,dieghv > tenghai.dict
,to³,,,,蛻,,,,,dieghv > tenghai.dict
,to³,,,,褪,,,,,dieghv > tenghai.dict
,toh⁴,,,,拓,,,,,dieghv > tenghai.dict
,toh⁴,,,,搨,,,,,dieghv > tenghai.dict
,toh⁴,,,,托,,,,,dieghv > tenghai.dict
,toh⁴,,,,庹,,,,,dieghv > tenghai.dict
,toh⁴,,,,託,,,,,dieghv > tenghai.dict
,toh⁴,,,,蘀,,,,,dieghv > tenghai.dict
,toh⁴,,,,籜,,,,,dieghv > tenghai.dict
,to⁵,,,,桃,,,,,dieghv > tenghai.dict
,to⁵,,,,柁,,,,,dieghv > tenghai.dict
,to⁵,,,,沱,,,,,dieghv > tenghai.dict
,to⁵,,,,跎,,,,,dieghv > tenghai.dict
,to⁵,,,,坨,,,,,dieghv > tenghai.dict
,to⁵,,,,酡,,,,,dieghv > tenghai.dict
,to⁵,,,,陀,,,,,dieghv > tenghai.dict
,to⁵,,,,馱,,,,,dieghv > tenghai.dict
,to⁵,,,,砣,,,,,dieghv > tenghai.dict
,to⁵,,,,駝,,,,,dieghv > tenghai.dict
,to⁵,,,,鮀,,,,,dieghv > tenghai.dict
,to⁵,,,,鴕,,,,,dieghv > tenghai.dict
,to⁵,,,,鼉,,,,,dieghv > tenghai.dict
,to⁵,,,,鼧,,,,,dieghv > tenghai.dict
,to⁵,,,,萄,,,,,dieghv > tenghai.dict
,toh⁸,,,,駝,,,,,dieghv > tenghai.dict
,no³,,,,努,,,,,dieghv > tenghai.dict
,no³,,,,懦,,,,,dieghv > tenghai.dict
,no³,,,,耨,,,,,dieghv > tenghai.dict
,no³,,,,糯,,,,,dieghv > tenghai.dict
,no³,,,,砮,,,,,dieghv > tenghai.dict
,no³,,,,駑,,,,,dieghv > tenghai.dict
,no⁵,,,,娜,,,,,dieghv > tenghai.dict
,no⁵,,,,弩,,,,,dieghv > tenghai.dict
,no⁵,,,,帑,,,,,dieghv > tenghai.dict
,no⁵,,,,挪,,,,,dieghv > tenghai.dict
,no⁵,,,,榔,,,,,dieghv > tenghai.dict
,no⁵,,,,儺,,,,,dieghv > tenghai.dict
,no⁵,,,,孥,,,,,dieghv > tenghai.dict
,no⁶,,,,二,,,,,dieghv > tenghai.dict
,no⁶,,,,貳,,,,,dieghv > tenghai.dict
,no⁷,,,,怒,,,,,dieghv > tenghai.dict
,lo¹,,,,咯,,,,,dieghv > tenghai.dict
,lo²,,,,裸,,,,,dieghv > tenghai.dict
,lo²,,,,潦,,,,,dieghv > tenghai.dict
,lo²,,,,蓏,,,,,dieghv > tenghai.dict
,lo²,,,,佬,,,,,dieghv > tenghai.dict
,lo²,,,,裹,,,,,dieghv > tenghai.dict
,lo⁵,,,,囉,,,,,dieghv > tenghai.dict
,lo⁵,,,,羅,,,,,dieghv > tenghai.dict
,lo⁵,,,,蘿,,,,,dieghv > tenghai.dict
,lo⁵,,,,籮,,,,,dieghv > tenghai.dict
,lo⁵,,,,邏,,,,,dieghv > tenghai.dict
,lo⁵,,,,鑼,,,,,dieghv > tenghai.dict
,lo⁵,,,,欏,,,,,dieghv > tenghai.dict
,lo⁵,,,,腡,,,,,dieghv > tenghai.dict
,lo⁵,,,,騾,,,,,dieghv > tenghai.dict
,lo⁵,,,,螺,,,,,dieghv > tenghai.dict
,lo⁵,,,,瘰,,,,,dieghv > tenghai.dict
,lo⁵,,,,蠃,,,,,dieghv > tenghai.dict
,lo⁵,,,,覼,,,,,dieghv > tenghai.dict
,lo⁵,,,,牢,,,,,dieghv > tenghai.dict
,lo⁵,,,,漯,,,,,dieghv > tenghai.dict
,loh⁸,,,,落,,,,,dieghv > tenghai.dict
,loh⁸,,,,摞,,,,,dieghv > tenghai.dict
,loh⁸,,,,犖,,,,,dieghv > tenghai.dict
,loh⁸,,,,駱,,,,,dieghv > tenghai.dict
,go¹,,,,歌,,,,,dieghv > tenghai.dict
,go¹,,,,撾,,,,,dieghv > tenghai.dict
,go¹,,,,哥,,,,,dieghv > tenghai.dict
,go¹,,,,過,,,,,dieghv > tenghai.dict
,go¹,,,,活,,,,,dieghv > tenghai.dict
,go¹,,,,𠹭,,,,,dieghv > tenghai.dict
,go¹,,,,竿,,,,,dieghv > tenghai.dict
,go¹,,,,高,,,,,dieghv > tenghai.dict
,go¹,,,,篙,,,,,dieghv > tenghai.dict
,go¹,,,,糕,,,,,dieghv > tenghai.dict
,go¹,,,,餻,,,,,dieghv > tenghai.dict
,go¹,,,,羔,,,,,dieghv > tenghai.dict
,go¹,,,,渦,,,,,dieghv > tenghai.dict
,go¹,,,,膏,,,,,dieghv > tenghai.dict
,go²,,,,稿,,,,,dieghv > tenghai.dict
,go²,,,,藁,,,,,dieghv > tenghai.dict
,go²,,,,蜾,,,,,dieghv > tenghai.dict
,go³,,,,塊,,,,,dieghv > tenghai.dict
,go³,,,,划,,,,,dieghv > tenghai.dict
,go³,,,,告,,,,,dieghv > tenghai.dict
,goh⁴,,,,閣,,,,,dieghv > tenghai.dict
,go⁵,,,,擱,,,,,dieghv > tenghai.dict
,go⁶,,,,個,,,,,dieghv > tenghai.dict
,ko¹,,,,戈,,,,,dieghv > tenghai.dict
,ko¹,,,,柯,,,,,dieghv > tenghai.dict
,ko¹,,,,珂,,,,,dieghv > tenghai.dict
,ko¹,,,,疴,,,,,dieghv > tenghai.dict
,ko¹,,,,窠,,,,,dieghv > tenghai.dict
,ko¹,,,,稞,,,,,dieghv > tenghai.dict
,ko¹,,,,舸,,,,,dieghv > tenghai.dict
,ko¹,,,,苛,,,,,dieghv > tenghai.dict
,ko¹,,,,軻,,,,,dieghv > tenghai.dict
,ko¹,,,,輠,,,,,dieghv > tenghai.dict
,ko¹,,,,牁,,,,,dieghv > tenghai.dict
,ko²,,,,可,,,,,dieghv > tenghai.dict
,ko²,,,,顆,,,,,dieghv > tenghai.dict
,ko²,,,,哿,,,,,dieghv > tenghai.dict
,ko²,,,,岢,,,,,dieghv > tenghai.dict
,ko²,,,,坷,,,,,dieghv > tenghai.dict
,ko²,,,,棵,,,,,dieghv > tenghai.dict
,ko²,,,,涸,,,,,dieghv > tenghai.dict
,ko²,,,,髁,,,,,dieghv > tenghai.dict
,ko²,,,,騍,,,,,dieghv > tenghai.dict
,ko³,,,,錁,,,,,dieghv > tenghai.dict
,ngo³,,,,喁,,,,,dieghv > tenghai.dict
,ngo⁵,,,,喁,,,,,dieghv > tenghai.dict
,ngo⁵,,,,娥,,,,,dieghv > tenghai.dict
,ngo⁵,,,,哦,,,,,dieghv > tenghai.dict
,ngo⁵,,,,俄,,,,,dieghv > tenghai.dict
,ngo⁵,,,,峨,,,,,dieghv > tenghai.dict
,ngo⁵,,,,莪,,,,,dieghv > tenghai.dict
,ngo⁵,,,,硪,,,,,dieghv > tenghai.dict
,ngo⁵,,,,蛾,,,,,dieghv > tenghai.dict
,ngo⁵,,,,鋨,,,,,dieghv > tenghai.dict
,ngo⁵,,,,愚,,,,,dieghv > tenghai.dict
,ngo⁵,,,,梧,,,,,dieghv > tenghai.dict
,ngo⁵,,,,嵎,,,,,dieghv > tenghai.dict
,ngo⁵,,,,虞,,,,,dieghv > tenghai.dict
,ngo⁵,,,,隅,,,,,dieghv > tenghai.dict
,ngo⁵,,,,禺,,,,,dieghv > tenghai.dict
,ngo⁶,,,,寓,,,,,dieghv > tenghai.dict
,ngo⁶,,,,寤,,,,,dieghv > tenghai.dict
,ngo⁶,,,,悟,,,,,dieghv > tenghai.dict
,ngo⁶,,,,遇,,,,,dieghv > tenghai.dict
,ngo⁶,,,,晤,,,,,dieghv > tenghai.dict
,gho⁵,,,,鵝,,,,,dieghv > tenghai.dict
,gho⁷,,,,餓,,,,,dieghv > tenghai.dict
,ho¹,,,,呵,,,,,dieghv > tenghai.dict
,ho¹,,,,訶,,,,,dieghv > tenghai.dict
,ho²,,,,好,,,,,dieghv > tenghai.dict
,ho³,,,,耗,,,,,dieghv > tenghai.dict
,ho³,,,,囮,,,,,dieghv > tenghai.dict
,ho³,,,,訛,,,,,dieghv > tenghai.dict
,ho³,,,,荷,,,,,dieghv > tenghai.dict
,ho⁵,,,,何,,,,,dieghv > tenghai.dict
,ho⁵,,,,河,,,,,dieghv > tenghai.dict
,ho⁵,,,,和,,,,,dieghv > tenghai.dict
,ho⁶,,,,和,,,,,dieghv > tenghai.dict
,ho⁶,,,,龢,,,,,dieghv > tenghai.dict
,ho⁷,,,,號,,,,,dieghv > tenghai.dict
,ho⁷,,,,賀,,,,,dieghv > tenghai.dict
,hoh⁸,,,,福,,,,,dieghv > tenghai.dict
,hoh⁸,,,,鶴,,,,,dieghv > tenghai.dict
,zo²,,,,左,,,,,dieghv > tenghai.dict
,zo²,,,,佐,,,,,dieghv > tenghai.dict
,zo²,,,,俎,,,,,dieghv > tenghai.dict
,zo²,,,,阻,,,,,dieghv > tenghai.dict
,zo²,,,,棗,,,,,dieghv > tenghai.dict
,zo³,,,,做,,,,,dieghv > tenghai.dict
,zoh⁴,,,,作,,,,,dieghv > tenghai.dict
,zoh⁴,,,,撧,,,,,dieghv > tenghai.dict
,zo⁵,,,,槽,,,,,dieghv > tenghai.dict
,zo⁶,,,,佐,,,,,dieghv > tenghai.dict
,zo⁶,,,,助,,,,,dieghv > tenghai.dict
,zo⁶,,,,坐,,,,,dieghv > tenghai.dict
,zo⁷,,,,座,,,,,dieghv > tenghai.dict
,zoh⁸,,,,絕,,,,,dieghv > tenghai.dict
,co¹,,,,初,,,,,dieghv > tenghai.dict
,co²,,,,草,,,,,dieghv > tenghai.dict
,co²,,,,楚,,,,,dieghv > tenghai.dict
,co²,,,,礎,,,,,dieghv > tenghai.dict
,co³,,,,錯,,,,,dieghv > tenghai.dict
,co³,,,,銼,,,,,dieghv > tenghai.dict
,co³,,,,糙,,,,,dieghv > tenghai.dict
