puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,chi̍t-ha̍k-sái,tsi̍t-ha̍k-sái,,一礐屎,,,,一坨屎、一糞坑、大便、無用,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chi̍t-tak-kú-á,tsi̍t-tak-kú-á,,一觸久仔,,,,一下子、一會兒,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,it,it,,乙,,,,乙,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,teng,ting,,丁,,,,丁、男子,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,chhit,tshit,,七,,,,七,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,káu[白],káu[白],,九,,,,九,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,kiú[文],kiú[文],,九,,,,九,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,liáu,liáu,,了,,,,白費、光光、好、完、明白、畢、損失、窮盡、賠錢,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jī,jī,,二,,,,二,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lī,lī,,二,,,,二,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,jîn,jîn,,人,,,,人,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lîn,lîn,,人,,,,人,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,lâng[替],lâng[替],,人,,,,人,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,ji̍p,ji̍p,,入,,,,入、進,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,li̍p,li̍p,,入,,,,入、進,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,pat[文],pat[文],,八,,,,八,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
,,peh[白],peh[白],,八,,,,八,ChhoeTaigi > ChhoeTaigi_KauiokpooTaigiSutian
