puj,dp,poj,tl,bp,han,han_variants,en,zh_CN,zh_TW,source
,,a-má,a-má,,,,grandmother,,祖母,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-má-sùn,A-má-sùn,,,,Amazon,,亞馬孫,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-men,A-men,,,,End-of prayer marker: Amen,,阿們,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-mi-pah,a-mi-pah,,,,Ameba,,阿米巴,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-mí-cho̍k,A-mí-tso̍k,,,,Amis tribe (Taiwan aborigines),,阿美族,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-mí-nó-sng,a-mí-nó-sng,,,,amino-acid,,氨基酸,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-mô͘-ni-a,a-môo-ni-a,,,,ammonia,,阿摩尼亞,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-mô͘-su,A-môo-su,,,,Amos,,亞毛斯,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-mô͘-su,A-môo-su,,,,Amoz,,亞摩斯,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-mô͘-sū,A-môo-sū,,,,Amos,,阿摩司,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-môa,a-muâ,,,,"flax, Linum uisitatissimum",,亞麻,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-pa,a-pa,,,,"father, daddy",,爸爸,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-pak-tí-a,A-pak-tí-a,,,,"Abdias, Obadiah",,亞北底亞,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-pē,a-pē,,,,"father, daddy",,爸爸,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-peh,a-peh,,,,uncle (father's elder brother),,伯父,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-peh-a,a-peh-a,,,,old gentleman,,老先生,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-peh-a,a-peh-a,,,,Sir (old gentleman),,老先生,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-pek-la̍h-hán,A-pik-la̍h-hán,,,,Abraham,,亞伯拉罕,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,A-pek-lân,A-pik-lân,,,,Abram,,亞伯蘭,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-peng-ko,a-ping-ko,,,,"soldier, Chinese G. I.",,阿兵哥,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-pô,a-pô,,,,elderly lady,,阿婆,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-pô,a-pô,,,,"Madam, Ma'am",,阿婆,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-pô-a,a-pô-a,,,,old woman,,阿婆,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-put-tó,a-put-tó,,,,roly-poly doll,,不倒翁,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-put-tó,a-put-tó,,,,"person who ''bounces back'' after failure, less, etc",,打不倒的,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-phiàn,a-phiàn,,,,opium (scooped from the container),,鴉片,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-phiàn,a-phiàn,,,,opium pellet (for smoking),,鴉片,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-sá-gá-o͘h,a-sá-gá-ooh,,,,"common morning glory, Ipomoea hardwickii",,牽牛花,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-sam,a-sam,,,,"Taiwania, Taiwania cryptomerioides",,台灣杉,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-se-a,a-se-a,,,,"Asia, Asian",,亞細亞,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-se-a,a-se-a,,,,Asia,,亞細亞,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-só,a-só,,,,sister-in-law (elder brother's wife),,,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
,,a-soaⁿ,a-suann,,,,mainlander (impolite),,外省人,ChhoeTaigi > ChhoeTaigi_EmbreeTaiengSutian
