puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source
kuang,,,,誑,,,,騙,,teochew.khau_sek
kuk-si̍k,,,,骨殖,,,,屍骨,,teochew.khau_sek
kuàn-tn̂g,,,,灌腸,,,,香腸,,teochew.khau_sek
ká-thiàⁿ,,,,㽱痛,,,,絞痛,,teochew.khau_sek
káu-koih,,,,垢圿,,,,污垢,,teochew.khau_sek
kóiⁿ,,,,襇,,,,裙褶,,teochew.khau_sek
kóu-láu,,,,孤老,,,,孤寡老人,,teochew.khau_sek
kông,,,,戇,,,,愚蠢,,teochew.khau_sek
kùe-cheh,,,,過責,,,,責備,,teochew.khau_sek
kúe,,,,粿,,,,蛋糕,,teochew.khau_sek
kúe,,,,餜,,,,蛋糕,,teochew.khau_sek
kún-tsui,,,,滾水,,,,開水,,teochew.khau_sek
kṳ̃n-tshṳ̀,,,,近覷,,,,近視,,teochew.khau_sek
lap-thap,,,,邋遢,,,,邋遢,,teochew.khau_sek
la̍t,,,,力,,,,勤勞,,teochew.khau_sek
la̍t,,,,勤,,,,勤勞,,teochew.khau_sek
lim,,,,啉,,,,飲(酒),,teochew.khau_sek
luah,,,,烙,,,,烙,,teochew.khau_sek
lãi,,,,內,,,,家,,teochew.khau_sek
lêng-ûi,,,,能爲,,,,能力,,teochew.khau_sek
lî,,,,詈,,,,責罵,,teochew.khau_sek
lô,,,,腡,,,,指紋,,teochew.khau_sek
lô,,,,醪,,,,渾濁,,teochew.khau_sek
lān-pha,,,,卵脬,,,,陰囊,,teochew.khau_sek
ma̍k-chhì-mô,,,,目眥毛,,,,眼睫毛,,teochew.khau_sek
ma̍k-siap,,,,目澀,,,,睏倦,,teochew.khau_sek
ma̍k-tsap,,,,目汁,,,,眼淚,,teochew.khau_sek
miaⁿ-sek,,,,名色,,,,名譽,,teochew.khau_sek
miaⁿ-thâu,,,,名頭,,,,名聲,,teochew.khau_sek
mn̂g-sìⁿ-aũ,,,,門扇後,,,,門後,,teochew.khau_sek
mîn-tshn̂g,,,,眠床,,,,床,,teochew.khau_sek
mîⁿ-hiûⁿ,,,,棉裘,,,,棉襖,,teochew.khau_sek
mûeⁿ,,,,糜,,,,粥,,teochew.khau_sek
mīn-liau-liau-cheⁿ,,,,面䩍䩍青,,,,臉色蒼白,,teochew.khau_sek
mīn-phûe,,,,面皮,,,,臉皮,,teochew.khau_sek
nah-sap-sièⁿ,,,,垃圾相,,,,不乾不淨,,teochew.khau_sek
ne̍k-tshō,,,,肉脞,,,,肉末,,teochew.khau_sek
ngâi,,,,獃,,,,呆,,teochew.khau_sek
ni-bó,,,,嬭母,,,,奶媽,,teochew.khau_sek
nâng-chhiâⁿ,,,,儂情,,,,恩情,,teochew.khau_sek
nâng-chhiâⁿ,,,,人情,,,,恩情,,teochew.khau_sek
nâng-chhêng,,,,儂情,,,,面子,,teochew.khau_sek
nâng-chhêng,,,,人情,,,,面子,,teochew.khau_sek
nâng-kheh,,,,人客,,,,客人,,teochew.khau_sek
nâng-kheh,,,,儂客,,,,客人,,teochew.khau_sek
nâng-sṳ̄,,,,儂事,,,,人情世故,,teochew.khau_sek
nâng-sṳ̄,,,,人事,,,,人情世故,,teochew.khau_sek
nôuⁿ-kiáⁿ,,,,孥囝,,,,孩子,,teochew.khau_sek
n̂g-sng-sóu-sán,,,,黃𦅇瘦㾪,,,,面黃肌瘦,,teochew.khau_sek
pah-oh,,,,拍呃,,,,打嗝,,teochew.khau_sek
pat,,,,別,,,,認識,,teochew.khau_sek
pat,,,,識,,,,認識,,teochew.khau_sek
pek,,,,愊,,,,生氣,,teochew.khau_sek
pek,,,,煏,,,,烤,,teochew.khau_sek
pek-chhek,,,,偪側,,,,易怒,,teochew.khau_sek
pe̍h-ne̍k,,,,白肉,,,,肥肉,,teochew.khau_sek
phang,,,,芳,,,,香,,teochew.khau_sek
phian-kou,,,,偏枯,,,,半身不遂,,teochew.khau_sek
phian-kou,,,,㾫枯,,,,半身不遂,,teochew.khau_sek
phiaⁿ-lî,,,,𩩍籬,,,,脇骨,,teochew.khau_sek
phou-tîn,,,,鋪陳,,,,鋪蓋,,teochew.khau_sek
phun,,,,潘,,,,泔水,,teochew.khau_sek
phái-kiáⁿ,,,,痞囝,,,,痞子,,teochew.khau_sek
phâng-phài,,,,滂沛,,,,豐盛,,teochew.khau_sek
phâng-phài,,,,霶霈,,,,豐盛,,teochew.khau_sek
phòng,,,,肨,,,,脹,,teochew.khau_sek
phùa-chîⁿ,,,,破錢,,,,破費,,teochew.khau_sek
phùa-ke-kiáⁿ,,,,破家囝,,,,敗家子,,teochew.khau_sek
phīⁿ,,,,𣴨,,,,鼻涕,,teochew.khau_sek
pik-li̍h,,,,𤷗裂,,,,龜裂,,teochew.khau_sek
pn̄g-tshn̂g,,,,飯床,,,,飯桌,,teochew.khau_sek
po̍h,,,,薄,,,,(液體味道)淡,,teochew.khau_sek
pùa-sièⁿ,,,,破相,,,,毀容,,teochew.khau_sek
pún-téng,,,,本等,,,,本分,,teochew.khau_sek
pû-hia,,,,匏桸,,,,水瓢,,teochew.khau_sek
pû-hia,,,,瓠𣟵,,,,水瓢,,teochew.khau_sek
pōu,,,,哺,,,,咀嚼,,teochew.khau_sek
pũ-chéng,,,,胕腫,,,,浮腫,,teochew.khau_sek
sai-khia,,,,私家,,,,私人,,teochew.khau_sek
sai-khia-chîⁿ,,,,私家錢,,,,私房錢,,teochew.khau_sek
sa̍h,,,,煠,,,,水煮,,teochew.khau_sek
saⁿ-khòu,,,,衫褲,,,,衣服,,teochew.khau_sek
saⁿ-kṳ,,,,衫裾,,,,衣襟,,teochew.khau_sek
saⁿ-ńg,,,,衫䘼,,,,衣袖,,teochew.khau_sek
sek-î,,,,適意,,,,樂意,,teochew.khau_sek
seⁿ-sṳ̄,,,,生事,,,,惹事,,teochew.khau_sek
si-ûi,,,,施爲,,,,辦法,,teochew.khau_sek
sim-sèⁿ,,,,心性,,,,脾氣,,teochew.khau_sek
sim-tông-tông,,,,心憧憧,,,,心神不定,,teochew.khau_sek
sin-nâng,,,,新人,,,,新娘,,teochew.khau_sek
sin-pũ,,,,新婦,,,,媳婦,,teochew.khau_sek
sin-si,,,,身屍,,,,屍體,,teochew.khau_sek
siáu,,,,𤞚,,,,狂,,teochew.khau_sek
siáu-káu,,,,𤞚狗,,,,狂犬,,teochew.khau_sek
sié-nn̂g,,,,小郎,,,,小叔子,,teochew.khau_sek
suah,,,,撒,,,,撒,,teochew.khau_sek
sue-phî,,,,衰疲,,,,萎靡,,teochew.khau_sek
sue-sap,,,,衰颯,,,,萎靡,,teochew.khau_sek
suh,,,,欶,,,,吮吸,,teochew.khau_sek
sái-chîⁿ,,,,使錢,,,,花錢,,teochew.khau_sek
sán,,,,㾪,,,,瘦,,teochew.khau_sek
sán-kut-la̍k-ne̍k,,,,㾪骨落肉,,,,瘦骨嶙峋,,teochew.khau_sek
sì-chhêng,,,,世情,,,,通情達理,,teochew.khau_sek
sói-e̍k,,,,洗浴,,,,洗澡,,teochew.khau_sek
sńg,,,,耍,,,,玩,,teochew.khau_sek
ta-ke,,,,大家,,,,婆婆,,teochew.khau_sek
ta-ke-kuaⁿ,,,,大家官,,,,公婆,,teochew.khau_sek
ta-kuaⁿ,,,,大官,,,,公公,,teochew.khau_sek
ta-pou,,,,丈夫,,,,男人,,teochew.khau_sek
ta-pou-kiáⁿ,,,,丈夫囝,,,,男孩,,teochew.khau_sek
tang-si,,,,東司,,,,廁所,,teochew.khau_sek
ta̍h-ti̍h,,,,譗𧫡,,,,囉嗦,,teochew.khau_sek
thiàu-thut,,,,跳脫,,,,脫俗,,teochew.khau_sek
thok-chiáⁿ,,,,禿掌,,,,禿頂,,teochew.khau_sek
thâu-ke,,,,頭家,,,,老闆,,teochew.khau_sek
thâu-mô,,,,頭毛,,,,頭髮,,teochew.khau_sek
tiau-khiak,,,,刁厥,,,,刁潑,,teochew.khau_sek
tiau-tùn,,,,刁蹬,,,,刁難,,teochew.khau_sek
tiám-báu,,,,點卯,,,,點名,,teochew.khau_sek
tiâu-tiâu,,,,條條,,,,井然,,teochew.khau_sek
tiâu-ti̍t,,,,條直,,,,有條理,,teochew.khau_sek
tiâu-ti̍t,,,,條直,,,,穩妥,,teochew.khau_sek
tièⁿ-tóu,,,,脹肚,,,,腹脹,,teochew.khau_sek
tiẽⁿ-nâng,,,,丈人,,,,岳父,,teochew.khau_sek
tiẽⁿ-ḿ,,,,丈母,,,,岳母,,teochew.khau_sek
tiẽⁿ-ḿ-phûa,,,,丈母婆,,,,丈母娘,,teochew.khau_sek
tok,,,,諑,,,,毀謗,,teochew.khau_sek
tok-tshō,,,,剁脞,,,,剁碎,,teochew.khau_sek
