latn_norm,han,zh_TW,zh_CN,en
iang1,蔫,(肉)變質,,
poh8,薄,(液體味道)淡,,
hiam1-chie1,薟椒,辣椒,,
kek4-sim1,衋心,痛心,,
heng6-chi2,行止,品德,,
kiann5-tah8,行踏,走動,,
cheng3-senn5,衝性,發脾氣,,
sann1-ng2,衫䘼,衣袖,,
sann1-kur1,衫裾,衣襟,,
sann1-khou3,衫褲,衣服,,
sue1-phi5,衰疲,萎靡,,
sue1-sap4,衰颯,萎靡,,
hiunn5,裘,襖,,
khou3-kha1,褲骹,褲腿,,
koinn2,襇,裙褶,,
chue7,襊,褶皺,,
chhin1-chiann6,親情,親戚,,
li5,詈,責罵,,
kuang1,誑,騙,,
tok4,諑,毀謗,,
chur1-nienn5,諸娘,女人,,
tah8-tih8,譗𧫡,囉嗦,,
chhiah4-nek8,赤肉,瘦肉,,
thiau3-thut4,跳脫,脫俗,,
sin1-si1,身屍,屍體,,
kurn6-chhur3,近覷,近視,,
kue3-cheh4,過責,責備,,
sek4-i5,適意,樂意,,
lap4-thap4,邋遢,邋遢,,
lo5,醪,渾濁,,
ka1-to1,鉸刀,剪刀,,
phou1-tin5,鋪陳,鋪蓋,,
chhoh4,錯,嗆,,
mng5-sinn3-au6,門扇後,門後,,
a1-kong1,阿公,爺爺,,
a1-ma2,阿媽,奶奶,,
a1-kim6,阿妗,舅母,,
a1-ai5,阿姨|阿𡟓,媽媽,,
a1-ni1,阿嬭|阿㜷,奶媽(面稱),,
a1-sia3,阿舍,富少|官少,,
chiau2-menn5,雀暝,夜盲,,
chhenn1-menn5,青盲,瞎,,
min7-liau1-liau1-chenn1,面䩍䩍青,臉色蒼白,,
min7-phue5,面皮,臉皮,,
thau5-ke1,頭家,老闆,,
thau5-mo5,頭毛,頭髮,,
am6,頷,頸,,
am6-phuan5,頷幋,圍巾,,
hiah8-sin3,額囟,囟門,,
hiah8-thau5,額頭,前額,,
chiah8-keh4,食槅,飯盒,,
chiah8-chek4,食積,積食,,
chiah8-chho1,食臊,吃葷,,
chiah8-hun1,食薰,抽菸,,
png7-chhng5,飯床,飯桌,,
am2,飲,米湯,,
kiann1,驚,怕,,
kuk4-sik8,骨殖,屍骨,,
chang1,鬃,髮髻,,
ng5-sng1-sou2-san2,黃𦅇瘦㾪,面黃肌瘦,,
tiam2-bau2,點卯,點名,,
gau5,𠢕,能幹,,
phinn7,𣴨,鼻涕,,
siau2,𤞚,狂,,
siau2-kau2,𤞚狗,狂犬,,
pik4-lih8,𤷗裂,龜裂,,
chi3,䭄,(貪)吃,,
phiann1-li5,𩩍籬,脇骨,,
