latn_norm,han,zh_TW,zh_CN,en
i1--nang5,伊儂,他們|她們,,
tih4-kiann2,滴囝,一點,,
mih4-kai5,乜个,什麼,,
mih4-nang5,乜儂,誰,,
boi6-mo2,袂孬|𠀾孬,不錯,,
kham5-khiat8,嵁硈,坎坷,,
ka1-ki7-nang5,家己儂,自己人,,
khuah4-tak8,闊達,(心胸)寬廣,,
oih8-soih4,狹細,(心胸)狹隘,,
chhah4-chhan6,插羼,爭前,,
tian2,展,炫耀,,
cheh4-chue7,責罪,責備,,
chap8-chip8,雜疾,不舒坦,,
am6-muann1,頷幔,圍巾,,
boi2-phue3,買配,買菜,,
chhia1-chou1,車租,車費,,
choi7,㩼,多,,
lim6,拰,握,,
ngim6,拰,握,,
