puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
ai,Ái 1,,,哀,,Painful feelings; pity.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
ai,Ái 1,,,埃,,Dust; sand.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
ak,Ák 4,,,惡,,Wicked; sin.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
am,Ám 1,,,𢊊,,A small thatched cottage; a small monastery.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
am,Ám 1,,,菴,,A small thatched cottage; a small monastery.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
an,Án 1,,,安,,Rest; tranquility.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
an,Án 1,,,鞍,,A saddle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ap,Áp 4,,,押,,To escort; control: collect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ap,Áp 4,,,狎,,Too familiar with; to make light of.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
at,Át 4,,,遏,,To forbid; hinder; cause to desist; to press down.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
at,Át 4,,,抑,,To press down; cause to stop: an interrogative particle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
au,Au 1,,,歐,,To spit out; vomit.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
au,Au 1,,,甌,,An earthen cup; bowl.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aù,Au 3-,,,奧,,Obscure; deep.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aù,Au 3-,,,懊,,Indignant; vexed; avaricious.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aú,Au 2,,,拗,,To seize and drag with the hand; to break; obstinate; perverse.,To sieze and drag with the hand; to break; obstinate; perverse.,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aú,Au 2,,,嘔,,To vomit; to nauseate; to spit.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aú,Au 2,,,毆,,To strike or beat; to wrangle; beat unjustly.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aû,Au -1,,,喉,,The throat.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
aũ,Au -3,,,後,,After; behind.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
a̍h,Á -4,,,鴨,,A duck.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
a̍k,Ák -4,,,筪,,A kind of bamboo.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,17
a̍p,Áp -4,,,匣,,A small box.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
a̍p,Áp -4,,,㭱,,A cage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
a̍p,Áp -4,,,盒,,A cover; a platter or dish; to cover over.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ba̍k,Bák -4,,,木,,Wood.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ba̍k,Bák -4,,,墨,,Ink; black.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
ba̍t,Bát -4,,,密,,Secret; silent.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
beh,Be 4,,,麥,,Wheat.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
biê,Bie -1,,,苗,,Sprouts; grain growing; off-spring.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
biê,Bie -1,,,描,,To sketch or draw pictures.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
biē,Bie 3,,,廟,,A temple.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
biōu,Bio 3,,,妙,,Delicate; small; excellent.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bi̍h,Bi -4,,,篾,,Reeds for making baskets.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bi̍t,Bit -4,,,蜜,,Honey.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bo,Bó 1,,,帽,,A cap or hat.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bo,Bó 1,,,磨,,A millstone.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
buah,Bua 4,,,砞,,To rub or brush in order to cleanse.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buah,Bua 4,,,撥,,To spread out; select; disperse; expel or reject.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buah,Bua 4,,,抹,,"To blot out, rub out.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buan,Buan 1,,,萬,,Ten thousand; all.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bue̍h,Bue -4,,,襪,,Stockings.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bun,Bun 1,,,蚊,,A flea; small insect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bun,Bun 1,,,捫,,To touch with the hand; feel; to lay hold of; to shake.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
buáng,Buang 2,,,罔,,A net; impeded; to deceive.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buáng,Buang 2,,,魍,,A water sprite or demon.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buáng,Buang 2,,,妄,,False; confused ; extravagant.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buâng,Buang -1,,,亡,,Lost; destroyed; dead.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buâng,Buang -1,,,忘,,To forget; disregard.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
buãng,Buang -3,,,望,,Full moon.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
báu,Bau 2,,,邜,,"A horary character, from 5 to 7 o'clock A.M.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
báu,Bau 2,,,昴,,The name of a constellation.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bâi,Bai -1,,,眉,,The eyebrows.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
bâi,Bai -1,,,楣,,Eaves of a house; the cross beam over a door.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,18
bé,Be 2,,,馬,,A horse.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bí,Bi 2,,,米,,Rice.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bòi,Boi 3-,,,賣,,To sell.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bó,Bó 2,,,母,,A mother.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bó,Bó 2,,,姆,,An aged widow; a school-mistress; a midwife.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bó,Bó 2,,,牳,,The female of cattle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bói,Boi 2,,,買,,To buy.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bóu,Bo 2,,,畆,,The Chinese acre of land.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bóu,Bo 2,,,𡚸,,A female.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bóu,Bo 2,,,牡,,The male of animals.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bô,Bó -1,,,無,,No; not.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bô,Bó -1,,,毋,,Do not; a prohibative particle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bùe,Bue 3-,,,未,,Not; not yet.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bùn,Bun 3-,,,悶,,Grief; grieved.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bùn,Bun 3-,,,們,,A Particle added to nouns and pronouns to form the plural.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bú,Bu 2,,,侮,,Neglect; disrespect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,㒇,,Affection; love; also used for contempt.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,撫,,To soothe; to hold; to keep down with the hand.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,憮,,Affection; love.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,舞,,Dancing; sleight of hand; tricks.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,武,,Warlike; military; a footstep.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,碔,,Name of a valuable stone.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bú,Bu 2,,,鵡,,A bird that can talk; a parrot.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
búe,Bue 2,,,尾,,The tail; termination of.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bû,Bu -1,,,巫,,A sorcerer or enchanter; magic.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bû,Bu -1,,,誣,,To deceive; accuse falsely; superstitious.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bû,Bu -1,,,廡,,A shade; porch; a vacant house.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bû,Bu -1,,,膴,,Flesh dried without bones; fat; beautiful.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bû,Bu -1,,,蕪,,Overgrown with weeds or wood; shady; dirty.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bûa,Bua -1,,,磨,,To rub or grind; to oppress.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bûe,Bue -1,,,枚,,A small tree.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bûe,Bue -1,,,梅,,Name of a fruit; a prune.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bûe,Bue -1,,,媒,,A mediator in marriage affairs.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bûe,Bue -1,,,煤,,Coals; collection of soot.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bûn,Bun -1,,,文,,Literature; letters; ornamental; ornament.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bûn,Bun -1,,,旻,,An autumnal sky; pensive; melancholy.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bûn,Bun -1,,,紊,,Confusion.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bûn,Bun -1,,,紋,,Confusion.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bûn,Bun -1,,,汶,,Name of a river.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bī,Bi 3,,,未,,"A horary character, from 1 to 3 o'clock P.M.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bī,Bi 3,,,味,,Taste; scent; relish.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bī,Bi 3,,,汆,,To float on the surface of water; to swim.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bōu,Bo 3,,,戊,,An astronomical character; flourishing.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,19
bũ,Bu -3,,,務,,To apply the mind and strength to any object; effort.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bũ,Bu -3,,,婺,,A widow who does not marry again.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bũ,Bu -3,,,𩥦,,To run with haste and precipitation; violent.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
bũn,Bun -3,,,聞,,To hear.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,21
bū,Bu 3,,,霧,,Mist; fog; vapor.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,20
che,Che 1,,,齋,,To fast; cleanse the heart; abstinence; respect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,25
cheh,Che 4,,,職,,To control; manage; the control of; care of.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,責,,To reprove; chastise; to be wrong; to inquire; to sustain an office.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,勣,,Meritorious service.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,嘖,,To cry out loud; a tumultuous noise; a hissing.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,簀,,Mats; reeds; to collect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,績,,Work performed; business; affair; meritorious deeds.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,仄,,Stooping; oblique.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,昃,,To descent; afternoon.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,窄,,Narrow; contracted.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
cheh,Che 4,,,漬,,"To soak, to steep.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chek,Chek 4,,,叔,,An uncle; a common appellation of Chinese; Mr.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chek,Chek 4,,,則,,Then; therefore; in that case; a rule; pattern.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chek,Chek 4,,,嘖,,To cry out aloud; tumultuous; wrangling.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chek,Chek 4,,,漬,,To drench; dye; steep.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chek,Chek 4,,,積,,To accumulate; hoard up; gather together.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chek,Chek 4,,,稷,,Best grain; tho god of grain; the officer who presides over grain.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chek,Chek 4,,,燭,,A candle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,征,,To go; to subjugate; conquer; punish.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,鍾,,A wine vessel; to collect; heavy.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,鐘,,A bell; a musical bell; tones of music.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,貞,,Chaste; pure; uncorrupted; a term in divination.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,偵,,To inquire; to spy; spy.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,楨,,Name of a wood.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,禎,,A favorable omen.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,精,,Fine; thin; subtile; unmixed; spiritual; essence; semen.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,睛,,Tho pupil of the eye.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,烝,,To heat; or boil; to send; a multitude.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,蒸,,To ascend as vapor; warm hot vapor.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,曾,,A particle denoting that anything is already past or done.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,僧,,Buddhist priests.,Budhist priests.,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,增,,To add; increase; many.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,憎,,To dislike; to hate.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,嘗,,"To taste; try, assay; already done; past.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,舂,,To beat as with a pestle; to pound.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheng,Cheng 1,,,摏,,To beat; to rush against.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,28
cheng,Cheng 1,,,樁,,A club or to strike; hit; to drive into the ground.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,28
cheng,Cheng 1,,,箏,,A musical instrument made of reeds.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,28
che̍k,Chek -4,,,一,,One; the first.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
che̍k,Chek -4,,,澤,,Marshy; wet; softened; enriched.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
cheⁿ,Chⁿe 1,,,爭,,To strive; wrangle.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chhe,Chʽe 1,,,差,,To send a messenger; a messenger.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chhe,Chʽe 1,,,乂,,A fork.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chheh,Chʽe 4,,,册,,A list; schedule; a book; a plan; to contrive.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chheh,Chʽe 4,,,策,,A device; stratagem; to scheme; a switch.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chhek,Chʽek 4,,,粟,,Paddy; a small grain used for distillation.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,斥,,To break; lay open; expel; reprove; many.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,側,,By the side of; oblique; depraved; perverted.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,惻,,Acute pain.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,測,,To measure or fathom; pure; clear.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,戚,,Mournful; sorry; angry; relations; friends.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,慼,,Grief; mourning.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chhek,Chʽek 4,,,膝,,The knees.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,27
chheng,Chʽeng 1,,,橙,,Name of a tree; the orange tree.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,28
chheⁿ,Chʽⁿe 1,,,靑,,A light green; azure; pale.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chheⁿ,Chʽⁿe 1,,,蜻,,Name of an insect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chheⁿ,Chʽⁿe 1,,,星,,A star.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chheⁿ,Chʽⁿe 1,,,腥,,Raw meat; fat.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chheⁿ,Chʽⁿe 1,,,菁,,A kind of plant and flower.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,26
chhi,Chʽi 1,,,懝,,Alarmed; apprehensive; to judge; intend.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,妻,,A wife; an equal.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,凄,,Intense cold.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,悽,,Sorrow; commiseration; anger; indignation.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,棲,,That on which a bird rests; a roost; a residence; to perch.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,萋,,Exuberance of foliage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,痴,,Foolish; deranged.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,恓,,Much grieved; sorry; angry.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,栖,,Birds perched on trees; a roost; to rest; desist.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,䲭,,A certain bird.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,蚳,,A certain insect; a shell fish.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,邸,,The court; residence for court visitors; an inn; at the bottom; fundamental.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,蚩,,A worm; ugly; ignorant.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhi,Chʽi 1,,,媸,,A worthless woman; ugly and lewd; foolish.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,30
chhia,Chʽia 1,,,車,,A carriage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,31
chhia,Chʽia 1,,,奢,,Affluent; prodigal; wasteful.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,31
chhia,Chʽia 1,,,賒,,To sell on credit; slow; remiss.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,31
chhiah,Chʽia 4,,,赤,,Naked; flesh color; reddish; vermilion.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,32
chhiak,Chʽiak 4,,,雀,,A sparrow; small birds.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,32
chhiak,Chʽiak 4,,,鵲,,A fabled bird of joy.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,32
chhiak,Chʽiak 4,,,綽,,Slow; leisurely.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,32
chhiam,Chʽiam 1,,,簽,,Slips of bamboo for drawing lots; to sign or subscribe.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,32
chhiang,Chʽiàng 1,,,昌,,Elegant; suitable; affluent; increasing.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,33
chhiang,Chʽiàng 1,,,娼,,A prostitute.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,33
chhiang,Chʽiàng 1,,,猖,,Wild and frightened; mad.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,33
chhiang,Chʽiàng 1,,,菖,,A water plant; sedge.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,33
chhiap,Chʽiap 4,,,妾,,A concubine; an inferior wife.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,34
chhiap,Chʽiap 4,,,竊,,To steal; private; one's private opinion; to assume.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,34
chhieh,Chʽie 4,,,尺,,A cubit.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,34
chhien,Chʽien 1,,,遷,,To remove from one place to another; to change.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,35
chhien,Chʽien 1,,,韆,,Rope swinging for amusement.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,35
chhien,Chʽien 1,,,阡,,A road running north and south; a road through the fields; luxuriant.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,35
chhiet,Chʽiet 4,,,切,,To cut; urgent; pressing; important; sincere; to spell words; the chief or important part of a thing in the whole.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,35
