puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
pãng,Páng -3,,,傍,,To approach; to lean against; lateral; to stand by the side.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,136
pãng,Páng -3,,,搒,,To screen; propel a boat; to strike; wrest from.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,136
pãng,Páng -3,,,謗,,To slander; vilify; to injure one's reputation.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,136
pãu,Pau -3,,,暴,,Scorching; cruel; fierce; oppressive; violent wind.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pãu,Pau -3,,,菢,,"To cover over, as a bird its eggs.",,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pãu,Pau -3,,,雹,,Fish preserved in brine.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pèⁿ,Pⁿe 3-,,,柄,,A handle; authority; control.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
pé,Pe 2,,,杷,,A handle; an instrument for leveling the ground.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
péng,Peng 2,,,胼,,Hard; stiff; indurated skin; callous.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
péng,Peng 2,,,迸,,To be dispersed; to water idly; flow away; expel.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
péng,Peng 2,,,秉,,A handful; to grasp; lay hold of; adhere to.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
péng,Peng 2,,,炳,,The light of fire; luminous; perspicuous.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
pê,Pe -1,,,爬,,To scrape; scratch; crawl like a crab.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pê,Pe -1,,,耙,,A harrow; a rake; barbed arrow; military carriage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pê,Pe -1,,,鈀,,A harrow; a rake; barbed arrow; military carriage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pê,Pe -1,,,筢,,A rake.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pê,Pe -1,,,琶,,A three stringed instrument played with the hands.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pê,Pe -1,,,抓,,To scratch gently; tickle; to cajole.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,137
pêng,Peng -1,,,崩,,Death of the emperor or high rulers.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
pêng,Peng -1,,,駢,,A pair of horses attached to a carriage; together.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
pêⁿ,Pⁿe -1,,,棚,,A temporary tent or shed.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,138
pì,Pi 3-,,,賁,,Glossed over; ornamented; herbage.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pì,Pi 3-,,,秘,,Mysterious; divine; abstruse; secret.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pì,Pi 3-,,,閟,,Anything secret; mysterious; careful.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pì,Pi 3-,,,庇,,Affording shade and shelter; to cover over; protect.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pì,Pi 3-,,,詖,,Artful debate and litigation; insidious accusation.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pì,Pi 3-,,,轡,,The rain by which a horse is guided.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pì,Pi 3-,,,臂,,The arm from the elbow to the wrist.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,140
pìn,Pin 3-,,,殯,,To perform funeral rites; to inter.,,,,008_A_Chinese_and_English_Vocabulary_in_the_Tie-chiu_Dialect,142
