puj,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
a-nôuⁿ lo̍h-tiāu,,,,阿孥落掉,,"miscarry, (accidental)",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > M,192
a-nôuⁿ tshut-sì,,,,阿孥出世,,"deliver, be delivered of a child",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > D,80
a-nôuⁿ-kiáⁿ tsò-sṳ̄,,,,阿孥囝做事,,"babe, babyish",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > B,28
a-nôuⁿ-kiáⁿ-khúan,,,,阿孥囝款,,"babe, babyish",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > B,28
a-pa,,,,阿爸,,father,,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > F,116
a-peh,,,,阿伯,,"uncle, paternal (older than father)",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > U,293
a-phièn,,,,鴉片,,opium,,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-ko,,,,鴉片膏,,"opium, prepared",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-kúi,,,,鴉片鬼,,"opium, miserable confirmed opium smoker",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-ngièn,,,,鴉片癮,,"crave, for opium",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > C,71
a-phièn-ngièn,,,,鴉片癮,,"opium, craving for",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-phã,,,,鴉片泡,,"opium, small pellet",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-phã,,,,鴉片泡,,"opium, shop",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-thôu,,,,鴉片塗,,"opium, crude",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-phièn-ín,,,,鴉片癮,,"opium, craving for",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > O,206
a-pún,,,,阿本,,"clerk, in civil court",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > C,55
a-só,,,,阿嫂,,"sister, sister-in-law, sister-in-law (wife of older brother)",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > S,257
a-tia,,,,阿爹,,father,,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > F,116
a-tiẽⁿ,,,,阿丈,,"aunt, aunt’s husband",,,,002_English-Chinese_Vocabulary_of_the_Vernacular_Or_Spoken_Language_of_Swatow > A,26
