puj,puj_proofread,puj_orig,poj,poj_orig,han,han_orig,en,en_orig,zh_TW,zh_CN,source,page_num
a,a,a,,,阿,,A prefix to names of persons.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-nôuⁿ,a-nôⁿ,a-nôⁿ,,,,,my child.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-nouⁿ-kiáⁿ,a-noⁿ-kíaⁿ,a-noⁿ-kíaⁿ,,,,,an infant.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-hiaⁿ,a-hiaⁿ,a-hiaⁿ,,,,,elder brother.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-pẽ,a-pĕ,a-pĕ,,,,,father.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,啞,,Confused vocal sounds.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ou-a a-a-kiè,o-a a-a-kìe,o-a a-a-kìe,,,,,the raven croaks.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
nouⁿ-kiáⁿ khí-thâu o̍h tàⁿ-uē chiũ a-a-kiè,noⁿ-kíaⁿ khí-thâu ô̤h tàⁿ-ūe cĭu a-a-kìe,noⁿ-kíaⁿ khí-thâu ô̤h tàⁿ-ūe cĭu a-a-kìe,,,,,children beginning to learn to talk utter confused sounds.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,鴉,,A raven with a white streak on its neck.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ou-a,o-a,o-a,,,,,a crow.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
hṳ̂-a,hṳ̂-a,hṳ̂-a,,,,,a fish-hawk.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-phièn,a-phìen,a-phìen,,,,,opium.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a siaⁿ,a siaⁿ,a siaⁿ,,,,,hoarse.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
siaⁿ li sĩ a siaⁿ,siaⁿ li sĭ a siaⁿ,siaⁿ li sĭ a siaⁿ,,,,,his voice is husky.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ũ ou-a kiè saⁿ siaⁿ,ŭ o-a kìe saⁿ siaⁿ,ŭ o-a kìe saⁿ siaⁿ,,,,,a crow cawed three times.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ou-a lo̍h iêⁿ,o-a lô̤h îeⁿ,o-a lô̤h îeⁿ,,,,,"the position of a crow descending into a field, (a fine site, geomantically considered).",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,椏,,"Divergent branches; a crotch, a prong, a fork, a tine.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
tsúi kàu hṳ́-kò pun a,cúi kàu hṳ́-kò̤ pun a,cúi kàu hṳ́-kò̤ pun a,,,,,the stream there divides into two branches.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
chí tiâu hô tõ ẽ pôiⁿ pun tsò saⁿ a,cí tîo hô̤ tŏ̤ ĕ pôiⁿ pun cò̤ saⁿ a,cí tîo hô̤ tŏ̤ ĕ pôiⁿ pun cò̤ saⁿ a,,,,,this river in its lower portion divides into three branches.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
"chhiū tūa, pun a","chīu tōa, pun a","chīu tōa, pun a",,,,,the tree grows and puts forth branches.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
pun tsò chhit poih a,pun cò̤ chit poih a,pun cò̤ chit poih a,,,,,divides into seven or eight forks.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
che̍k a tsài pun tsò ku-ā a,cêk a cài pun cò̤ ku-ā a,cêk a cài pun cò̤ ku-ā a,,,,,one branch divided into several branches.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a-chhe,a-che,a-che,,,,,"a crotched stick, used as a support.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
khie̍h ki a-chhe lâi thèⁿ,khîeh ki a-che lâi thèⁿ,khîeh ki a-che lâi thèⁿ,,,,,get a forked stick and prop it up.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
bô a-chhe saⁿ tsò-nî nê?,bô̤ a-che saⁿ cò̤-nî nê?,bô̤ a-che saⁿ cò̤-nî nê?,,,,,Without crotches how can the clothes be hung out to dry?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ki-búe khui a,ki-búe khui a,ki-búe khui a,,,,,the twigs are sprouting.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
lõu pun tsò nõ a,lŏ pun cò̤ nŏ̤ a,lŏ pun cò̤ nŏ̤ a,,,,,the road divided into two forks.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
suaⁿ-lêng kiâⁿ kàu chí-kò chiũ pun a,suaⁿ-lêng kîaⁿ kàu cí-kò̤ cĭu pun a,suaⁿ-lêng kîaⁿ kàu cí-kò̤ cĭu pun a,,,,,the spur of the mountain at this point divided off.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
chí tsâng hue pun tsò kúi a,cí câng hue pun cò̤ kúi a,cí câng hue pun cò̤ kúi a,,,,,this flower consists of several sprigs.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
"hiah tõ tõiⁿ kúi a, nē?","hiah tŏ̤ tŏiⁿ kúi a, nē?","hiah tŏ̤ tŏiⁿ kúi a, nē?",,,,,On which branch is it perched?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
àiⁿ tsám-tiāu tī che̍k a?,àiⁿ cám-tīo tī cêk a?,àiⁿ cám-tīo tī cêk a?,,,,,Which branch would you chop off?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
"chí a tn̂g, chí a tó","cí a tn̂g, cí a tó̤","cí a tn̂g, cí a tó̤",,,,,one of the tines is longer than the other.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,也,,Or; otherwise.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
ũ a bô?,ŭ a bô̤?,ŭ a bô̤?,,,,,Is there any or not?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
lṳ́ chêng a m̄ chêng?,lṳ́ cêng a m̄ cêng?,lṳ́ cêng a m̄ cêng?,,,,,Have you or have you not?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
lṳ́ thóiⁿ tie̍h hó a m̄-hó?,lṳ́ thóiⁿ tîeh hó̤ a m̄-hó̤?,lṳ́ thóiⁿ tîeh hó̤ a m̄-hó̤?,,,,,"Do you think it desirable, or not?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
lṳ́ àiⁿ pe̍h kâi a ou kâi?,lṳ́ àiⁿ pêh kâi a o kâi?,lṳ́ àiⁿ pêh kâi a o kâi?,,,,,Do you want white ones or black ones?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
àiⁿ kàu a būe?,àiⁿ kàu a būe?,àiⁿ kàu a būe?,,,,,Are we almost there?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
sĩ i kâi a-hiaⁿ a m̄ sĩ?,sĭ i kâi a-hiaⁿ a m̄ sĭ?,sĭ i kâi a-hiaⁿ a m̄ sĭ?,,,,,It is his brother is it not?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
a,a,a,,,了,,When placed between two verbs indicates continuance or repetition of the action.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
noih-a-noih,noih-a-noih,noih-a-noih,,,,,limping along.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
hìⁿ-a-hìⁿ,hìⁿ-a-hìⁿ,hìⁿ-a-hìⁿ,,,,,hobbling on.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
kuãi-a-kuãi,kŭai-a-kŭai,kŭai-a-kŭai,,,,,limping at every step.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
chhiãng-a-chhiãng,chĭang-a-chĭang,chĭang-a-chĭang,,,,,walking as one does when one leg is shorter than the other.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
phẽ-a-phẽ,phĕ-a-phĕ,phĕ-a-phĕ,,,,,"walking lamely, in such a way as to throw the body forward by jerks.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
hit-a-hit,hit-a-hit,hit-a-hit,,,,,swinging to and fro.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
lû-a-lû,lû-a-lû,lû-a-lû,,,,,keeps poking it.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
pue-a-pue,pue-a-pue,pue-a-pue,,,,,flying round and round.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
nih-a-nih,nih-a-nih,nih-a-nih,,,,,winking every little while.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
lín-a-lín,lín-a-lín,lín-a-lín,,,,,turns over at intervals.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
i tõ tsúi mīn lìm-a-lìm,i tŏ̤ cúi mīn lìm-a-lìm,i tŏ̤ cúi mīn lìm-a-lìm,,,,,it bobs up and down on the surface of the water.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
tsûn sõ-a-sõ,cûn sŏ̤-a-sŏ̤,cûn sŏ̤-a-sŏ̤,,,,,the boat tosses constantly.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
tshūe-a-tshūe tsū tshūe tie̍h,chūe-a-chūe cū chūe tîeh,chūe-a-chūe cū chūe tîeh,,,,,keep on looking for it and you will find it.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
bûa-a-bûa tsū tshûn tiám-kiáⁿ,bûa-a-bûa cū chûn tíam-kíaⁿ,bûa-a-bûa cū chûn tíam-kíaⁿ,,,,,by successive grindings it is worn away so that there is but little left.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á,á,á,,,拗,,"To pluck; to twist; to wrest; to bend, as in an attempt to break.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á chi̍h,á cîh,á cîh,,,,,to break by bending.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á tshùi,á chùi,á chùi,,,,,to snap in shivers.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á tñg,á tn̆g,á tn̆g,,,,,to snap off.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á tsò kue̍h,á cò̤ kûeh,á cò̤ kûeh,,,,,to break in two.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á chhiú pà,á chíu pà,á chíu pà,,,,,to test the strength by seizing each other's wrists.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á tsang-khak,á cang-khak,á cang-khak,,,,,to make the frame of a coiffure.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á chhiū-ki,á chīu-ki,á chīu-ki,,,,,break off a branch of a tree.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á lúi hue,á lúi hue,á lúi hue,,,,,pluck a flower.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á kaⁿ-ná,á kaⁿ-ná,á kaⁿ-ná,,,,,pick olives.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á tò-tńg,á tò̤-tńg,á tò̤-tńg,,,,,bend backward.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á ti̍t chē,á tît cē,á tît cē,,,,,bend it straighter.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
màiⁿ á khah uan,màiⁿ á khah wn,màiⁿ á khah wn,,,,,do not bend it into too short a curve.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á būe lo̍h sì,á būe lô̤h sì,á būe lô̤h sì,,,,,have not yet brought it into shape.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
á sì-chiàⁿ sì-chiàⁿ,á sì-cìaⁿ sì-cìaⁿ,á sì-cìaⁿ sì-cìaⁿ,,,,,twist it into a correct shape.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
jĩm á m̄ uan,jĭm á m̄ wn,jĭm á m̄ wn,,,,,endure pressure without bending.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,25
àiⁿ á tie̍h lóng-tsóng á,àiⁿ á tîeh lóng-cóng á,àiⁿ á tîeh lóng-cóng á,,,,,if you pluck any you must pluck all.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"chhiú-tsńg-thâu á ji̍p, bô á tshut","chíu-cńg-thâu á jîp, bô̤ á chut","chíu-cńg-thâu á jîp, bô̤ á chut",,,,,"his fingers clutch but never relax, (said of a miser).",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
chí kâi jī tàⁿ lâi tsong-kú á m̄ tńg,cí kâi jī tàⁿ lâi cong-kú á m̄ tńg,cí kâi jī tàⁿ lâi cong-kú á m̄ tńg,,,,,he never gets the pronunciation of this word right.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à,à,à,,,辯,,To argue; to dispute; to wrangle for a notion.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
sie à,sie à,sie à,,,,,to debate.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à m̄ hàuⁿ hiah,à m̄ hàuⁿ hiah,à m̄ hàuⁿ hiah,,,,,would not stop disputing.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"bô lí, à kàu ũ lí","bô̤ lí, à kàu ŭ lí","bô̤ lí, à kàu ŭ lí",,,,,make the worse appear the better reason.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
i à tàⁿ bô,i à tàⁿ bô̤,i à tàⁿ bô̤,,,,,he denied its being so.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à iâⁿ,à îaⁿ,à îaⁿ,,,,,out argue.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à su,à su,à su,,,,,worsted in argument.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à m̄ khui kau,à m̄ khui kau,à m̄ khui kau,,,,,argue without coming to a conclusion.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à,à,à,,,亞,,Second in order.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à-siàⁿ,à-sìaⁿ,à-sìaⁿ,,,,,"the second sage, Mencius.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à-nguân,à-ngŵn,à-ngŵn,,,,,"the scholar ranking next to the senior wrangler among the successful candidates for the degrees of hâng-lim, cìu-sṳ̆ and kṳ́-jîn.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
à-pẽ,à-pĕ,à-pĕ,,,,,next to a father to me.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ã,ă,ă,,,歟,,"A final particle, indicative of relief or admiration, but mostly used after a question expressive of doubt, surprise or irony.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"i káⁿ sĩ bô, ã!","i káⁿ sĭ bô̤, ă!","i káⁿ sĭ bô̤, ă!",,,,,He has none then!,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"tùi chí-kò khṳ̀, sĩ ã?","tùi cí-kò̤ khṳ̀, sĭ ă?","tùi cí-kò̤ khṳ̀, sĭ ă?",,,,,"This is the way to go, is it?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
sĩ i ã!,sĭ i ă!,sĭ i ă!,,,,,"It is he, certainly.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
i sĩ khṳ̀ khiû i kâi ã!,i sĭ khṳ̀ khîu i kâi ă!,i sĭ khṳ̀ khîu i kâi ă!,,,,,He has gone to beseech it of him!,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ã,ă,ă,,,呀,,"A final particle, expressing doubt in the preceding statement.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"hó, ã","hó̤, ă","hó̤, ă",,,,,that will do perhaps.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"khah sòi, ã","khah sòi, ă","khah sòi, ă",,,,,that is too small surely.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
kàu ã,kàu ă,kàu ă,,,,,we are there by this time surely.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ài-ã,ài-ă,ài-ă,,,,,an interjection expressing surprise or incredulity.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ā,ā,ā,,,呀,,"A final particle, serving to arrest attention.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
sĩ uá ā,sĭ úa ā,sĭ úa ā,,,,,it is I.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"lṳ́ ā, ẽ tńg m̄ hó chièⁿ-seⁿ ā","lṳ́ ā, ĕ tńg m̄ hó̤ cìeⁿ-seⁿ ā","lṳ́ ā, ĕ tńg m̄ hó̤ cìeⁿ-seⁿ ā",,,,,another time don't you do thus.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
sĩ ā,sĭ ā,sĭ ā,,,,,that is so.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"sĩ ā, tie̍h chièⁿ-seⁿ chiàⁿ tie̍h ā","sĭ ā, tîeh cìeⁿ-seⁿ cìaⁿ tîeh ā","sĭ ā, tîeh cìeⁿ-seⁿ cìaⁿ tîeh ā",,,,,"yes, that is the way it must be.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
i sĩ a-hiaⁿ ā,i sĭ a-hiaⁿ ā,i sĭ a-hiaⁿ ā,,,,,he is the elder.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
uá lâi khṳ̀ ā,úa lâi khṳ̀ ā,úa lâi khṳ̀ ā,,,,,I am going.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"nâng ā, thâu ā!","nâng ā, thâu ā!","nâng ā, thâu ā!",,,,,Look out for your head there!,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ā,ā,ā,,,亦,,,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ā-sĩ; iā-sĩ,ā-sĭ; īa-sĭ,ā-sĭ; īa-sĭ,,,亦,,if; should it be; in case that; supposing that.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"ā-sĩ ũ, hó bói","ā-sĭ ŭ, hó̤ bói","ā-sĭ ŭ, hó̤ bói",,,,,"should there be any, buy them.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ā-sĩ uá lâi tsū hó,ā-sĭ úa lâi cū hó̤,ā-sĭ úa lâi cū hó̤,,,,,had I come it would have been well.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"ā-sĩ ũ hõu, i chiũ m̄ lâi","ā-sĭ ŭ hŏ, i cĭu m̄ lâi","ā-sĭ ŭ hŏ, i cĭu m̄ lâi",,,,,should it rain he will not come.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
i ā-sĩ bô lâi —,i ā-sĭ bô̤ lâi —,i ā-sĭ bô̤ lâi —,,,,,if he does not come —.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
lṳ́ ā-sĩ m̃—,lṳ́ ā-sĭ m̆—,lṳ́ ā-sĭ m̆—,,,,,if you are determined that you will not —.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
iā m̄ sĩ,īa m̄ sĭ,īa m̄ sĭ,,,,,if not.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ,aⁿ,aⁿ,,,掩,,To cover; to hide from view; to screen.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ ma̍k,aⁿ mâk,aⁿ mâk,,,,,to hoodwink.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ ma̍k tsáu tiàm,aⁿ mâk cáu tìam,aⁿ mâk cáu tìam,,,,,"""hide and seek.""",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"aⁿ ma̍k, phièn phīⁿ","aⁿ mâk, phìen phīⁿ","aⁿ mâk, phìen phīⁿ",,,,,to throw dust in one's eyes; to thoroughly deceive.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"aⁿ nâng kâi tshùi, aⁿ tsãi tit mi?","aⁿ nâng kâi chùi, aⁿ căi tit mi?","aⁿ nâng kâi chùi, aⁿ căi tit mi?",,,,,How can people's mouths be stopped?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ mīn,aⁿ mīn,aⁿ mīn,,,,,hide the face.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ hĩⁿ,aⁿ hĭⁿ,aⁿ hĭⁿ,,,,,cover the ears with the hands.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ phīⁿ,aⁿ phīⁿ,aⁿ phīⁿ,,,,,hold the nose.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
kúi aⁿ ma̍k,kúi aⁿ mâk,kúi aⁿ mâk,,,,,preternaturally blind.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ m̄ tsũ,aⁿ m̄ cŭ,aⁿ m̄ cŭ,,,,,not effectually closed.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
chhit phìⁿ aⁿ m̄ tsũ,chit phìⁿ aⁿ m̄ cŭ,chit phìⁿ aⁿ m̄ cŭ,,,,,all the doors are not simultaneously shut.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"aⁿ mi-mi, bô nâng tsai","aⁿ mi-mi, bô̤ nâng cai","aⁿ mi-mi, bô̤ nâng cai",,,,,concealed from every body's cognizance,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
aⁿ m̄ lī,aⁿ m̄ lī,aⁿ m̄ lī,,,,,irrepressible.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ,àⁿ,àⁿ,,,擁,,To hold in the arms or lap; to snuggle.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ a-nôuⁿ,àⁿ a-nôⁿ,àⁿ a-nôⁿ,,,,,snuggle a baby.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ i tó u̍t,àⁿ i tó̤ ût,àⁿ i tó̤ ût,,,,,rock him to sleep.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"tie̍h àⁿ i, chiàⁿ õi u̍t","tîeh àⁿ i, cìaⁿ ŏi ût","tîeh àⁿ i, cìaⁿ ŏi ût",,,,,you must snuggle him then he will sleep.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"àⁿ hó-hó, màiⁿ kiaⁿ tie̍h i","àⁿ hó̤-hó̤, màiⁿ kiaⁿ tîeh i","àⁿ hó̤-hó̤, màiⁿ kiaⁿ tîeh i",,,,,"hold him nicely, and do not startle him.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ tõ sin piⁿ,àⁿ tŏ̤ sin piⁿ,àⁿ tŏ̤ sin piⁿ,,,,,hugged close.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ kàu sie-sie,àⁿ kàu sie-sie,àⁿ kàu sie-sie,,,,,cuddled up warm.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ,àⁿ,àⁿ,,,伏,,"To sit on eggs, to incubate; to hover over; to lie perdue.",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
koi-bó àⁿ koi-kiáⁿ,koi-bó̤ àⁿ koi-kíaⁿ,koi-bó̤ àⁿ koi-kíaⁿ,,,,,the hen covers the chickens.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
àⁿ tõ i si̍t ẽ,àⁿ tŏ̤ i sît ĕ,àⁿ tŏ̤ i sît ĕ,,,,,covered under her wings.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
koi-bó tó àⁿ nñg,koi-bó̤ tó̤ àⁿ n̆ng,koi-bó̤ tó̤ àⁿ n̆ng,,,,,the hen is sitting.,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
ēng àⁿ jie̍h kú chiàⁿ õi tshut koi-kiáⁿ?,ēng àⁿ jîeh kú cìaⁿ ŏi chut koi-kíaⁿ?,ēng àⁿ jîeh kú cìaⁿ ŏi chut koi-kíaⁿ?,,,,,How long must she sit in order to hatch out the chickens?,,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
"nñg khah tsōi, õi àⁿ m̄ tsâu a bõi?","n̆ng khah cōi, ŏi àⁿ m̄ câu a bŏi?","n̆ng khah cōi, ŏi àⁿ m̄ câu a bŏi?",,,,,"If there be too many eggs, won't they fail to be uniformly warmed by her sitting on them?",,,,007_A_Pronouncing_and_Defining_Dictionary_of_the_Swatow_Dialect,26
